Izbrani kazalniki za odpadke, kohezijske in statistiène regije, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOHEZIJSKA/STATISTIÈNA REGIJA;;2002 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2003 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2004 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2005 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2006 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2007 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2008 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2009 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2010 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2011 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2012 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2013 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2014 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2015 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2016 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2017 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2018 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;;;2019 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca);;;;
SLOVENIJA;;379;;;;;;394;;;;;;395;;;;;;399;;;;;;414;;;;;;419;;;;;;416;;;;;;404;;;;;;389;;;;;;352;;;;;;327;;;;;;320;;;;;;323;;;;;;315;;;;;;336;;;;;;339;;;;;;361;;;;;;359;;;;
Vzhodna Slovenija;;347;;;;;;362;;;;;;368;;;;;;359;;;;;;376;;;;;;401;;;;;;394;;;;;;352;;;;;;360;;;;;;325;;;;;;296;;;;;;291;;;;;;300;;;;;;291;;;;;;307;;;;;;308;;;;;;328;;;;;;331;;;;
Pomurska;;350;;;;;;339;;;;;;334;;;;;;260;;;;;;289;;;;;;446;;;;;;405;;;;;;397;;;;;;313;;;;;;285;;;;;;271;;;;;;278;;;;;;289;;;;;;288;;;;;;301;;;;;;314;;;;;;334;;;;;;338;;;;
Podravska;;391;;;;;;401;;;;;;369;;;;;;412;;;;;;444;;;;;;401;;;;;;385;;;;;;396;;;;;;387;;;;;;328;;;;;;316;;;;;;312;;;;;;321;;;;;;303;;;;;;335;;;;;;323;;;;;;351;;;;;;351;;;;
Koroška;;268;;;;;;306;;;;;;325;;;;;;359;;;;;;369;;;;;;376;;;;;;361;;;;;;348;;;;;;342;;;;;;318;;;;;;266;;;;;;233;;;;;;240;;;;;;247;;;;;;252;;;;;;252;;;;;;275;;;;;;272;;;;
Savinjska;;346;;;;;;347;;;;;;430;;;;;;392;;;;;;376;;;;;;395;;;;;;408;;;;;;362;;;;;;371;;;;;;336;;;;;;296;;;;;;288;;;;;;291;;;;;;297;;;;;;302;;;;;;318;;;;;;328;;;;;;341;;;;
Zasavska;;387;;;;;;389;;;;;;385;;;;;;347;;;;;;381;;;;;;405;;;;;;401;;;;;;362;;;;;;374;;;;;;338;;;;;;323;;;;;;312;;;;;;337;;;;;;235;;;;;;309;;;;;;303;;;;;;328;;;;;;322;;;;
