"Kazalniki za vode, kohezijske in statistiène regijah, Slovenija, letno"

"KOHEZIJSKA/STATISTIÈNA REGIJA";"2002 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2003 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2004 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2005 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2006 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2007 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2008 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2009 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2010 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2011 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2012 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2013 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2014 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2015 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2016 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2017 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2018 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]";"2019 Voda dobavljena gospodinjstvom iz javnega vodovoda na prebivalca [m3]"
"SLOVENIJA";44.4;46.1;43.4;42.4;43.0;43.8;44.0;41.8;41.2;40.7;41.3;38.2;38.1;38.1;38.0;38.3;38.4;38.1
"Vzhodna Slovenija";30.9;39.5;37.5;36.7;36.7;38.7;39.4;36.5;31.6;36.6;37.2;36.4;34.5;34.0;34.1;35.7;35.6;36.3
"Pomurska";27.4;27.5;26.7;26.5;27.0;29.4;37.0;29.4;27.0;29.5;29.4;28.8;29.3;29.8;31.0;30.7;35.3;35.7
"Podravska";16.5;44.8;38.6;37.8;38.7;34.2;45.0;37.6;36.0;35.9;35.3;39.4;35.4;35.6;35.9;36.2;36.3;35.9
"Koroška";30.7;32.2;33.2;30.1;30.6;29.0;32.0;30.8;30.4;30.3;22.9;29.1;31.2;29.8;28.9;28.5;29.1;30.5
"Savinjska";43.0;42.6;41.9;40.8;41.5;53.6;43.0;40.0;36.5;42.2;47.1;42.8;39.2;40.6;41.5;40.6;40.4;41.3
"Zasavska";36.6;37.2;36.1;35.4;34.7;34.7;35.0;34.2;34.0;33.5;30.2;35.0;26.1;19.0;19.2;26.7;28.7;32.0
"Posavska";37.3;39.4;37.9;37.9;38.1;34.6;20.0;33.8;33.3;34.4;31.2;31.7;32.9;23.2;24.6;33.4;32.2;33.1
"Jugovzhodna Slovenija";38.6;37.5;39.5;39.0;35.7;39.0;39.0;38.0;32.6;38.6;40.0;29.5;33.6;35.1;32.0;38.2;33.5;35.1
"Primorsko-notranjska";35.0;37.1;36.7;35.4;34.9;36.6;34.0;37.7;37.1;38.0;42.7;39.3;33.6;35.5;35.9;36.6;35.4;36.5
"Zahodna Slovenija";60.2;54.0;50.3;49.2;50.3;49.7;48.9;47.9;51.8;45.2;45.8;40.1;42.1;42.7;42.3;41.0;41.5;40.1
"Osrednjeslovenska";56.3;57.0;54.2;51.7;53.2;52.8;52.0;50.7;57.0;47.6;42.9;36.8;40.6;41.7;42.3;41.4;40.1;39.8
"Gorenjska";45.0;51.0;48.5;50.4;50.3;48.8;50.0;50.0;41.6;43.2;51.2;48.4;40.9;51.3;45.3;40.8;40.4;41.4
"Goriška";47.8;44.3;42.2;41.9;43.0;51.0;43.0;42.7;36.9;42.2;47.2;52.1;51.8;40.5;40.2;40.7;51.8;40.4
"Obalno-kraška";...;56.9;44.8;43.6;44.9;35.2;42.0;36.1;39.7;40.9;49.0;28.8;41.5;33.8;39.2;40.1;39.3;39.2
