"Nastali, zbrani in odloženi komunalni odpadki, obèine, Slovenija, letno"

"OBÈINE";"2002 Nastali komunalni odpadki (kg/prebivalca)";"2002 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2002 Odloženi komunalni odpadki (kg/prebivalca)";"2003 Nastali komunalni odpadki (kg/prebivalca)";"2003 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2003 Odloženi komunalni odpadki (kg/prebivalca)";"2004 Nastali komunalni odpadki (kg/prebivalca)";"2004 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2004 Odloženi komunalni odpadki (kg/prebivalca)";"2005 Nastali komunalni odpadki (kg/prebivalca)";"2005 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2005 Odloženi komunalni odpadki (kg/prebivalca)";"2006 Nastali komunalni odpadki (kg/prebivalca)";"2006 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2006 Odloženi komunalni odpadki (kg/prebivalca)";"2007 Nastali komunalni odpadki (kg/prebivalca)";"2007 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2007 Odloženi komunalni odpadki (kg/prebivalca)";"2008 Nastali komunalni odpadki (kg/prebivalca)";"2008 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2008 Odloženi komunalni odpadki (kg/prebivalca)";"2009 Nastali komunalni odpadki (kg/prebivalca)";"2009 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2009 Odloženi komunalni odpadki (kg/prebivalca)";"2010 Nastali komunalni odpadki (kg/prebivalca)";"2010 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2010 Odloženi komunalni odpadki (kg/prebivalca)";"2011 Nastali komunalni odpadki (kg/prebivalca)";"2011 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2011 Odloženi komunalni odpadki (kg/prebivalca)";"2012 Nastali komunalni odpadki (kg/prebivalca)";"2012 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2012 Odloženi komunalni odpadki (kg/prebivalca)";"2013 Nastali komunalni odpadki (kg/prebivalca)";"2013 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2013 Odloženi komunalni odpadki (kg/prebivalca)";"2014 Nastali komunalni odpadki (kg/prebivalca)";"2014 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2014 Odloženi komunalni odpadki (kg/prebivalca)";"2015 Nastali komunalni odpadki (kg/prebivalca)";"2015 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2015 Odloženi komunalni odpadki (kg/prebivalca)";"2016 Nastali komunalni odpadki (kg/prebivalca)";"2016 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2016 Odloženi komunalni odpadki (kg/prebivalca)";"2017 Nastali komunalni odpadki (kg/prebivalca)";"2017 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2017 Odloženi komunalni odpadki (kg/prebivalca)";"2018 Nastali komunalni odpadki (kg/prebivalca)";"2018 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2018 Odloženi komunalni odpadki (kg/prebivalca)";"2019 Nastali komunalni odpadki (kg/prebivalca)";"2019 Komunalni odpadki, zbrani z javnim odvozom (kg/prebivalca)";"2019 Odloženi komunalni odpadki (kg/prebivalca)"
"SLOVENIJA";426;379;-;441;394;-;417;395;-;422;399;-;431;414;-;439;419;-;453;419;-;449;404;-;422;389;275;352;352;204;362;327;153;414;320;109;433;323;101;451;315;101;465;336;27;478;339;32;495;361;28;509;359;32
"Ajdovšèina";-;393;-;-;462;-;-;490;-;-;468;-;-;563;-;-;560;-;-;456;-;-;441;-;-;475;378;-;391;263;367;332;202;388;294;17;403;293;17;450;314;0;433;304;-;425;286;0;472;338;8;496;345;14
"Ankaran";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;508;372;141;585;456;-;617;478;7;541;407;12;573;422;16
"Apaèe";-;...;-;-;...;-;-;...;-;-;...;-;-;...;-;-;355;-;-;258;-;-;317;-;-;242;166;-;251;157;251;215;88;316;222;58;368;257;51;413;278;80;415;286;-;449;309;63;459;325;52;497;346;64
"Beltinci";-;156;-;-;185;-;-;180;-;-;189;-;-;192;-;-;182;-;-;193;-;-;263;-;-;261;204;-;240;180;297;262;147;337;243;56;358;248;50;393;258;59;401;272;-;427;288;53;459;325;40;500;350;51
"Benedikt";-;119;-;-;196;-;-;186;-;-;179;-;-;132;-;-;250;-;-;223;-;-;226;-;-;199;164;-;169;73;244;208;37;313;219;17;330;220;3;346;210;19;368;239;-;383;244;0;368;234;11;375;224;31
"Bistrica ob Sotli";-;289;-;-;302;-;-;444;-;-;349;-;-;304;-;-;315;-;-;297;-;-;209;-;-;201;141;-;188;104;181;146;73;257;163;33;276;164;25;323;187;31;336;207;-;360;221;20;394;260;26;374;223;22
"Bled";-;426;-;-;382;-;-;400;-;-;390;-;-;404;-;-;468;-;-;417;-;-;409;-;-;418;267;-;450;231;475;440;174;558;464;56;576;466;52;594;459;88;588;459;-;611;472;59;680;546;51;709;558;50
"Bloke";-;525;-;-;788;-;-;647;-;-;697;-;-;450;-;-;827;-;-;798;-;-;728;-;-;563;497;-;238;147;249;214;132;305;211;13;349;238;2;380;245;129;369;240;-;296;157;29;300;166;5;316;166;8
"Bohinj";-;338;-;-;384;-;-;387;-;-;439;-;-;478;-;-;361;-;-;427;-;-;425;-;-;360;300;-;337;232;354;319;164;424;330;184;439;328;181;492;357;152;502;373;-;521;382;116;554;420;100;573;423;107
"Borovnica";-;411;-;-;314;-;-;347;-;-;493;-;-;391;-;-;358;-;-;384;-;-;376;-;-;371;135;-;359;140;360;324;109;397;303;7;430;324;2;449;314;56;458;329;-;462;323;2;496;362;4;517;367;6
"Bovec";-;436;-;-;518;-;-;573;-;-;613;-;-;624;-;-;712;-;-;661;-;-;595;-;-;551;411;-;517;335;496;461;269;558;464;20;566;454;119;595;460;186;604;475;-;665;525;0;678;544;30;733;582;11
"Braslovèe";-;229;-;-;167;-;-;378;-;-;282;-;-;260;-;-;236;-;-;326;-;-;247;-;-;365;176;-;245;108;272;236;36;314;220;37;327;218;30;341;206;34;356;228;-;384;244;23;389;255;25;437;286;27
"Brda";-;300;-;-;295;-;-;349;-;-;418;-;-;415;-;-;362;-;-;382;-;-;405;-;-;401;325;-;387;304;414;379;280;469;375;156;476;366;87;480;345;240;522;393;-;577;437;10;595;461;21;591;440;19
