"Povzetek statistike voda (1000 m3), Slovenija, letno"

"VRSTA VODE";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Naèrpana voda po vodnem viru - SKUPAJ";895349;980338;897154;887282;931439;960326;944406
"..naèrpana voda iz podzemnih voda";184847;187016;184972;181415;190002;192614;189139
"..naèrpana voda iz površinskih voda";710502;793322;712182;705867;741437;767711;755267
"Naèrpana voda za javni vodovod - SKUPAJ";163971;163095;164404;161821;169385;170718;170046
"..izgube v sistemu javnega vodovoda";45644;45890;46517;45123;46827;49556;47790
"..dobavljena voda iz javnega vodovoda - Skupaj";118327;117205;117886;116698;122559;121162;122256
"....dobavljena voda gospodinjstvom";78558;78606;78536;78362;79034;79469;79644
"....dobavljena voda dejavnostim";33033;32096;33448;33740;37581;36913;37607
"....dobavljena neobraèunana voda";6736;6503;5902;4596;5944;4780;5005
"Odpadna voda po vrsti vode - SKUPAJ";892950;984685;877804;909430;961859;1003008;997235
"..preèišèena odpadna voda";84370;98780;95319;157173;176266;188508;185063
"..nepreèišèena odpadna voda";712723;791417;704571;752257;785593;814500;812173
"..padavinska odpadna voda";95857;94488;77914;-;-;-;-
