Year;USA
1960;
1961;
1962;
1963;
1964;
1965;
1966;
1967;
1968;
1969;
1970;
1971;
1972;
1973;
1974;
1975;
1976;
1977;
1978;
1979;
1980;
1981;
1982;
1983;
1984;
1985;
1986;
1987;
1988;
1989;
1990;23888,60001
1991;24342,2589
1992;25418,99078
1993;26387,29373
1994;27694,85342
1995;28690,8757
1996;29967,71272
1997;31459,139
1998;32853,67698
1999;34513,5615
2000;36334,90878
2001;37133,24281
2002;38023,16111
2003;39496,48588
2004;41712,80107
2005;44114,74778
2006;46298,73144
2007;47975,96768
2008;48382,55845
2009;47099,98047
2010;48467,51578
2011;49886,81811
2012;51610,60528
2013;53117,66783
2014;55047,72556
2015;56822,51882
2016;57927,51685
2017;59957,72585
2018;62840,02024
2019;65118,35833
2020;
