occ_code;occ_title;group;tot_emp;emp_prse;h_mean;a_mean;mean_prse;h_pct10;h_pct25;h_median;h_pct75;h_pct90;a_pct10;a_pct25;a_median;a_pct75;a_pct90;annual;hourly
00-0000;All Occupations;;     134354250;       0.1;         19.56;         40690;           0.1;          7.72;         10.06;         15.10;         23.87;         36.49;         16060;         20920;         31410;         49640;         75910;;
11-0000;Management occupations;major;       6003930;       0.3;         46.22;         96150;           0.1;         19.64;         27.98;         40.60;         58.50;#;         40850;         58200;         84440;        121690;#;;
11-1011;Chief executives;;        299160;       0.7;         72.77;        151370;           0.4;         31.02;         47.09;#;#;#;         64530;         97960;#;#;#;;
11-1021;General and operations managers;;       1655410;       0.3;         49.89;        103780;           0.1;         21.15;         29.26;         42.64;         64.22;#;         43990;         60860;         88700;        133570;#;;
11-1031;Legislators;;         61110;       3.7;*;         33880;           1.3;*;*;*;*;*;         13090;         14420;         16220;         42090;         76260;TRUE;
11-2011;Advertising and promotions managers;;         36300;       1.7;         43.80;         91100;           1.0;         18.46;         25.44;         37.62;         55.73;#;         38400;         52910;         78250;        115910;#;;
11-2021;Marketing managers;;        165240;       1.2;         54.52;        113400;           0.5;         25.73;         35.58;         50.19;         69.35;#;         53520;         74010;        104400;        144250;#;;
11-2022;Sales managers;;        322170;       0.6;         51.34;        106790;           0.3;         22.05;         30.60;         45.63;         66.48;#;         45860;         63640;         94910;        138280;#;;
11-2031;Public relations managers;;         47210;       1.3;         46.71;         97170;           0.6;         21.57;         29.55;         41.57;         58.41;#;         44870;         61470;         86470;        121500;#;;
11-3011;Administrative services managers;;        239360;       0.6;         36.72;         76370;           0.3;         17.31;         24.23;         34.13;         45.66;         59.86;         36000;         50390;         70990;         94970;        124520;;
11-3021;Computer and information systems managers;;        264990;       0.8;         54.75;        113880;           0.3;         31.62;         40.76;         51.96;         65.79;#;         65760;         84790;        108070;        136850;#;;
11-3031;Financial managers;;        484390;       0.5;         51.06;        106200;           0.3;         24.96;         33.26;         45.82;         62.92;#;         51910;         69180;         95310;        130860;#;;
11-3041;Compensation and benefits managers;;         41780;       0.9;         42.50;         88400;           0.4;         22.14;         28.93;         39.14;         51.62;         68.22;         46050;         60170;         81410;        107370;        141900;;
11-3042;Training and development managers;;         28170;       1.5;         43.41;         90300;           0.7;         22.33;         29.95;         40.55;         53.48;         69.31;         46450;         62300;         84340;        111240;        144160;;
11-3049;Human resources managers, all other;;         58100;       1.0;         47.98;         99810;           0.4;         26.08;         34.06;         44.57;         58.16;#;         54250;         70850;         92710;        120960;#;;
11-3051;Industrial production managers;;        152870;       0.6;         42.09;         87550;           0.3;         23.40;         29.86;         38.73;         50.41;         65.14;         48670;         62100;         80560;        104860;        135500;;
11-3061;Purchasing managers;;         65600;       0.8;         43.47;         90430;           0.3;         23.31;         30.83;         41.08;         53.48;         66.64;         48480;         64120;         85440;        111240;        138610;;
11-3071;Transportation, storage, and distribution managers;;         92790;       0.8;         39.41;         81980;           0.3;         21.58;         28.08;         36.69;         47.08;         60.79;         44900;         58410;         76310;         97920;        126440;;
11-9011;Farm, ranch, and other agricultural managers;;          3480;       8.6;         29.34;         61030;           2.6;         14.95;         19.87;         25.83;         35.89;         49.84;         31100;         41340;         53720;         74660;        103660;;
11-9012;Farmers and ranchers;;           340;      22.1;         20.43;         42480;          10.1;         10.21;         12.29;         16.04;         22.46;         38.47;         21230;         25570;         33360;         46720;         80010;;
11-9021;Construction managers;;        216120;       1.0;         41.26;         85830;           0.5;         21.46;         27.89;         36.65;         49.13;         68.37;         44630;         58000;         76230;        102190;        142210;;
11-9031;Education administrators, preschool and child care center/program;;         47980;       2.6;         21.36;         44430;           0.8;         12.18;         14.69;         18.55;         24.93;         34.35;         25340;         30560;         38580;         51860;         71440;;
11-9032;Education administrators, elementary and secondary school;;        218820;       0.6;*;         82120;           0.5;*;*;*;*;*;         52940;         65210;         80580;         98480;        117740;TRUE;
11-9033;Education administrators, postsecondary;;        101160;       1.4;         41.29;         85870;           0.8;         20.15;         26.41;         36.43;         50.63;#;         41910;         54940;         75780;        105320;#;;
11-9039;Education administrators, all other;;         28640;       2.2;         35.69;         74230;           0.9;         18.17;         24.81;         33.32;         44.50;         57.33;         37800;         51610;         69300;         92560;        119250;;
11-9041;Engineering managers;;        184410;       1.1;         55.58;        115610;           0.4;         33.96;         42.47;         53.37;         65.70;#;         70640;         88350;        111020;        136650;#;;
11-9051;Food service managers;;        191460;       0.8;         23.39;         48660;           0.4;         13.58;         16.96;         21.43;         27.58;         35.61;         28240;         35270;         44570;         57370;         74060;;
11-9061;Funeral directors;;         24020;       2.2;         27.72;         57660;           1.3;         13.89;         18.09;         24.21;         31.80;         44.52;         28890;         37630;         50370;         66130;         92610;;
11-9071;Gaming managers;;          3740;       3.3;         33.46;         69600;           1.1;         17.66;         23.50;         30.97;         39.53;         51.07;         36740;         48880;         64410;         82220;        106220;;
11-9081;Lodging managers;;         31890;       1.5;         24.59;         51140;           0.8;         12.92;         16.19;         21.27;         29.08;         40.02;         26880;         33670;         44240;         60480;         83240;;
11-9111;Medical and health services managers;;        242640;       0.7;         40.86;         84980;           0.3;         22.53;         28.80;         37.01;         47.92;         63.74;         46860;         59910;         76990;         99680;        132580;;
11-9121;Natural sciences managers;;         39370;       1.6;         54.41;        113170;           1.0;         30.23;         39.10;         50.02;         66.18;#;         62880;         81320;        104040;        137660;#;;
11-9131;Postmasters and mail superintendents;;         26500;       0.0;         27.81;         57850;           0.1;         18.53;         23.07;         27.84;         33.06;         38.03;         38540;         47990;         57900;         68770;         79100;;
11-9141;Property, real estate, and community association managers;;        159660;       1.3;         25.74;         53530;           0.9;         10.00;         14.28;         21.00;         31.37;         47.06;         20800;         29700;         43670;         65250;         97890;;
