OCC_CODE;OCC_TITLE;GROUP;TOT_EMP;EMP_PRSE;H_MEAN;A_MEAN;MEAN_PRSE;H_PCT10;H_PCT25;H_MEDIAN;H_PCT75;H_PCT90;A_PCT10;A_PCT25;A_MEDIAN;A_PCT75;A_PCT90;ANNUAL;HOURLY
00-0000;All Occupations;total;127.097.160;0,1;21,35;44.410;0,1;8,51;10,65;16,27;26,08;39,97;17.690;22.150;33.840;54.250;83.140;;
11-0000;Management Occupations;major;6.022.860;0,2;50,69;105.440;0,1;21,57;30,65;43,96;62,97;#;44.860;63.760;91.440;130.980;#;;
11-1011;Chief Executives;;273.500;0,5;83,34;173.350;0,3;36,14;51,92;79,37;#;#;75.160;107.990;165.080;#;#;;
11-1021;General and Operations Managers;;1.708.080;0,3;54,38;113.100;0,2;22,73;31,39;45,38;68,28;#;47.280;65.290;94.400;142.030;#;;
11-1031;Legislators;;65.710;1,3;*;38.470;1,2;*;*;*;*;*;15.790;16.790;19.260;54.170;84.320;TRUE;
11-2011;Advertising and Promotions Managers;;32.240;2,2;47,46;98.720;1,2;19,94;27,32;40,33;58,93;#;41.480;56.820;83.890;122.570;#;;
11-2021;Marketing Managers;;164.590;0,8;59,00;122.720;0,4;27,76;38,90;54,23;72,72;#;57.750;80.900;112.800;151.260;#;;
11-2022;Sales Managers;;319.300;0,6;54,86;114.110;0,3;24,02;32,49;47,37;69,12;#;49.960;67.570;98.530;143.770;#;;
11-2031;Public Relations and Fundraising Managers;;53.460;1,4;50,19;104.390;0,8;23,90;32,18;44,14;61,76;#;49.720;66.930;91.810;128.470;#;;
11-3011;Administrative Services Managers;;240.320;0,6;40,57;84.390;0,3;19,91;27,16;37,45;49,78;65,05;41.420;56.490;77.890;103.550;135.300;;
11-3021;Computer and Information Systems Managers;;288.660;0,8;59,27;123.280;0,3;34,34;43,68;55,67;70,23;#;71.420;90.850;115.780;146.080;#;;
11-3031;Financial Managers;;478.940;0,5;56,24;116.970;0,3;26,98;36,50;49,96;68,37;#;56.120;75.920;103.910;142.210;#;;
