"Continent_Name","Country_Name","GU_A3"
"Asia","Afghanistan, Islamic Republic of","AFG"
"Europe","Albania, Republic of","ALB"
"Antarctica","Antarctica (the territory South of 60 deg S)","ATA"
"Africa","Algeria, People's Democratic Republic of","DZA"
"Oceania","American Samoa","ASM"
"Europe","Andorra, Principality of","AND"
"Africa","Angola, Republic of","AGO"
"North America","Antigua and Barbuda","ATG"
"Europe","Azerbaijan, Republic of","AZE"
"Asia","Azerbaijan, Republic of","AZE"
"South America","Argentina, Argentine Republic","ARG"
"Oceania","Australia, Commonwealth of","AUS"
"Europe","Austria, Republic of","AUT"
"North America","Bahamas, Commonwealth of the","BHS"
"Asia","Bahrain, Kingdom of","BHR"
"Asia","Bangladesh, People's Republic of","BGD"
"Europe","Armenia, Republic of","ARM"
"Asia","Armenia, Republic of","ARM"
"North America","Barbados","BRB"
"Europe","Belgium, Kingdom of","BEL"
"North America","Bermuda","BMU"
"Asia","Bhutan, Kingdom of","BTN"
"South America","Bolivia, Republic of","BOL"
"Europe","Bosnia and Herzegovina","BIH"
"Africa","Botswana, Republic of","BWA"
"Antarctica","Bouvet Island (Bouvetoya)","BVT"
"South America","Brazil, Federative Republic of","BRA"
"North America","Belize","BLZ"
"Asia","British Indian Ocean Territory (Chagos Archipelago)","IOT"
"Oceania","Solomon Islands","SLB"
"North America","British Virgin Islands","VGB"
"Asia","Brunei Darussalam","BRN"
"Europe","Bulgaria, Republic of","BGR"
"Asia","Myanmar, Union of","MMR"
"Africa","Burundi, Republic of","BDI"
"Europe","Belarus, Republic of","BLR"
"Asia","Cambodia, Kingdom of","KHM"
"Africa","Cameroon, Republic of","CMR"
"North America","Canada","CAN"
"Africa","Cape Verde, Republic of","CPV"
"North America","Cayman Islands","CYM"
"Africa","Central African Republic","CAF"
"Asia","Sri Lanka, Democratic Socialist Republic of","LKA"
"Africa","Chad, Republic of","TCD"
"South America","Chile, Republic of","CHL"
"Asia","China, People's Republic of","CHN"
"Asia","Taiwan","TWN"
"Asia","Christmas Island","CXR"
"Asia","Cocos (Keeling) Islands","CCK"
"South America","Colombia, Republic of","COL"
"Africa","Comoros, Union of the","COM"
"Africa","Mayotte","MYT"
"Africa","Congo, Republic of the","COG"
"Africa","Congo, Democratic Republic of the","COD"
"Oceania","Cook Islands","COK"
"North America","Costa Rica, Republic of","CRI"
"Europe","Croatia, Republic of","HRV"
"North America","Cuba, Republic of","CUB"
"Europe","Cyprus, Republic of","CYP"
"Asia","Cyprus, Republic of","CYP"
"Europe","Czech Republic","CZE"
"Africa","Benin, Republic of","BEN"
"Europe","Denmark, Kingdom of","DNK"
"North America","Dominica, Commonwealth of","DMA"
"North America","Dominican Republic","DOM"
"South America","Ecuador, Republic of","ECU"
"North America","El Salvador, Republic of","SLV"
"Africa","Equatorial Guinea, Republic of","GNQ"
"Africa","Ethiopia, Federal Democratic Republic of","ETH"
"Africa","Eritrea, State of","ERI"
"Europe","Estonia, Republic of","EST"
"Europe","Faroe Islands","FRO"
"South America","Falkland Islands (Malvinas)","FLK"
"Antarctica","South Georgia and the South Sandwich Islands","SGS"
"Oceania","Fiji, Republic of the Fiji Islands","FJI"
"Europe","Finland, Republic of","FIN"
"Europe","Aland Islands","ALA"
"Europe","France, French Republic","FRA"
"South America","French Guiana","GUF"
"Oceania","French Polynesia","PYF"
"Antarctica","French Southern Territories","ATF"
"Africa","Djibouti, Republic of","DJI"
"Africa","Gabon, Gabonese Republic","GAB"
"Europe","Georgia","GEO"
"Asia","Georgia","GEO"
"Africa","Gambia, Republic of the","GMB"
"Asia","Palestinian Territory, Occupied","PSE"
"Europe","Germany, Federal Republic of","DEU"
"Africa","Ghana, Republic of","GHA"
"Europe","Gibraltar","GIB"
"Oceania","Kiribati, Republic of","KIR"
"Europe","Greece, Hellenic Republic","GRC"
"North America","Greenland","GRL"
"North America","Grenada","GRD"
"North America","Guadeloupe","GLP"
"Oceania","Guam","GUM"
"North America","Guatemala, Republic of","GTM"
"Africa","Guinea, Republic of","GIN"
"South America","Guyana, Co-operative Republic of","GUY"
"North America","Haiti, Republic of","HTI"
"Antarctica","Heard Island and McDonald Islands","HMD"
"Europe","Holy See (Vatican City State)","VAT"
"North America","Honduras, Republic of","HND"
"Asia","Hong Kong, Special Administrative Region of China","HKG"
"Europe","Hungary, Republic of","HUN"
"Europe","Iceland, Republic of","ISL"
"Asia","India, Republic of","IND"
"Asia","Indonesia, Republic of","IDN"
"Asia","Iran, Islamic Republic of","IRN"
"Asia","Iraq, Republic of","IRQ"
"Europe","Ireland","IRL"
"Asia","Israel, State of","ISR"
"Europe","Italy, Italian Republic","ITA"
"Africa","Cote d'Ivoire, Republic of","CIV"
"North America","Jamaica","JAM"
"Asia","Japan","JPN"
"Europe","Kazakhstan, Republic of","KAZ"
"Asia","Kazakhstan, Republic of","KAZ"
"Asia","Jordan, Hashemite Kingdom of","JOR"
"Africa","Kenya, Republic of","KEN"
