"Bruto domaèi proizvod na prebivalca (EUR), statistiène regije, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";Bruto domaèi proizvod na prebivalca (EUR)
"2011";"Pomurska";11899
"2011";"Podravska";14964
"2011";"Koroška";13882
"2011";"Savinjska";16557
"2011";"Zasavska";10904
"2011";"Posavska";14874
"2011";"Jugovzhodna Slovenija";17187
"2011";"Osrednjeslovenska";26029
"2011";"Gorenjska";14995
"2011";"Primorsko-notranjska";12706
"2011";"Goriška";16668
"2011";"Obalno-kraška";19139
"2012";"Pomurska";11801
"2012";"Podravska";14591
"2012";"Koroška";13938
"2012";"Savinjska";16186
"2012";"Zasavska";10355
"2012";"Posavska";14600
"2012";"Jugovzhodna Slovenija";16612
"2012";"Osrednjeslovenska";25555
"2012";"Gorenjska";14706
"2012";"Primorsko-notranjska";12254
"2012";"Goriška";16082
"2012";"Obalno-kraška";17840
"2013";"Pomurska";12095
"2013";"Podravska";14632
"2013";"Koroška";14157
"2013";"Savinjska";16191
"2013";"Zasavska";10457
"2013";"Posavska";14828
"2013";"Jugovzhodna Slovenija";16864
"2013";"Osrednjeslovenska";25383
"2013";"Gorenjska";15215
"2013";"Primorsko-notranjska";12620
"2013";"Goriška";16079
"2013";"Obalno-kraška";17381
"2014";"Pomurska";12489
"2014";"Podravska";15229
"2014";"Koroška";14631
"2014";"Savinjska";16673
"2014";"Zasavska";10358
"2014";"Posavska";15266
"2014";"Jugovzhodna Slovenija";17349
"2014";"Osrednjeslovenska";25940
"2014";"Gorenjska";16026
"2014";"Primorsko-notranjska";13186
"2014";"Goriška";16545
"2014";"Obalno-kraška";17813
"2015";"Pomurska";12667
"2015";"Podravska";15549
"2015";"Koroška";15319
"2015";"Savinjska";17405
"2015";"Zasavska";10213
"2015";"Posavska";15793
"2015";"Jugovzhodna Slovenija";17948
"2015";"Osrednjeslovenska";26540
"2015";"Gorenjska";16630
"2015";"Primorsko-notranjska";14050
"2015";"Goriška";17276
"2015";"Obalno-kraška";18795
"2016";"Pomurska";13334
"2016";"Podravska";16074
"2016";"Koroška";15906
"2016";"Savinjska";18013
"2016";"Zasavska";10486
"2016";"Posavska";16400
"2016";"Jugovzhodna Slovenija";18482
"2016";"Osrednjeslovenska";27715
"2016";"Gorenjska";17194
"2016";"Primorsko-notranjska";14678
"2016";"Goriška";18060
"2016";"Obalno-kraška";19542
"2017";"Pomurska";14076
"2017";"Podravska";16892
"2017";"Koroška";16690
"2017";"Savinjska";19072
"2017";"Zasavska";10962
"2017";"Posavska";17272
"2017";"Jugovzhodna Slovenija";20313
"2017";"Osrednjeslovenska";29278
"2017";"Gorenjska";18594
"2017";"Primorsko-notranjska";15111
"2017";"Goriška";19212
"2017";"Obalno-kraška";21293
"2018";"Pomurska";15030
"2018";"Podravska";17890
"2018";"Koroška";17955
"2018";"Savinjska";20024
"2018";"Zasavska";11595
"2018";"Posavska";18358
"2018";"Jugovzhodna Slovenija";21723
"2018";"Osrednjeslovenska";31212
"2018";"Gorenjska";19857
"2018";"Primorsko-notranjska";15917
"2018";"Goriška";20017
"2018";"Obalno-kraška";22670
"2019";"Pomurska";15705
"2019";"Podravska";18887
"2019";"Koroška";18694
"2019";"Savinjska";20954
"2019";"Zasavska";12287
"2019";"Posavska";19456
"2019";"Jugovzhodna Slovenija";23096
"2019";"Osrednjeslovenska";32620
"2019";"Gorenjska";20790
"2019";"Primorsko-notranjska";16154
"2019";"Goriška";20707
"2019";"Obalno-kraška";22894
