"Prebivalstvo, staro 15 ali veè let, po izobrazbi, petletnih starostnih skupinah in spolu, statistiène regije, letno"

"LETO";"SPOL";"STAROST";"STATISTIÈNA REGIJA";"IZOBRAZBA";Prebivalstvo, staro 15 ali veè let
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Brez izobrazbe, nepopolna osnovnošolska";4172
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Osnovnošolska";35418
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Srednješolska - Skupaj";51207
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Nižja poklicna, srednja poklicna";23967
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Srednja strokovna, srednja splošna";27240
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Višješolska, visokošolska - Skupaj";12672
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 1. stopnje ipd.";6804
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 2. stopnje ipd.";5291
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 3. stopnje ipd.";577
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Brez izobrazbe, nepopolna osnovnošolska";11865
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Osnovnošolska";68051
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Srednješolska - Skupaj";157230
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Nižja poklicna, srednja poklicna";68571
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Srednja strokovna, srednja splošna";88659
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Višješolska, visokošolska - Skupaj";43856
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Visokošolska 1. stopnje ipd.";21445
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Visokošolska 2. stopnje ipd.";19628
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Visokošolska 3. stopnje ipd.";2783
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Brez izobrazbe, nepopolna osnovnošolska";3867
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Osnovnošolska";15290
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Srednješolska - Skupaj";34325
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Nižja poklicna, srednja poklicna";17331
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Srednja strokovna, srednja splošna";16994
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Višješolska, visokošolska - Skupaj";8713
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Visokošolska 1. stopnje ipd.";4686
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Visokošolska 2. stopnje ipd.";3649
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Visokošolska 3. stopnje ipd.";378
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Brez izobrazbe, nepopolna osnovnošolska";10520
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Osnovnošolska";59160
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Srednješolska - Skupaj";119250
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Nižja poklicna, srednja poklicna";57538
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Srednja strokovna, srednja splošna";61712
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Višješolska, visokošolska - Skupaj";33047
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Visokošolska 1. stopnje ipd.";17432
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Visokošolska 2. stopnje ipd.";13959
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Visokošolska 3. stopnje ipd.";1656
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Brez izobrazbe, nepopolna osnovnošolska";2044
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Osnovnošolska";10459
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Srednješolska - Skupaj";20822
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Nižja poklicna, srednja poklicna";9667
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Srednja strokovna, srednja splošna";11155
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Višješolska, visokošolska - Skupaj";5222
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Visokošolska 1. stopnje ipd.";2961
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Visokošolska 2. stopnje ipd.";2035
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Visokošolska 3. stopnje ipd.";226
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Brez izobrazbe, nepopolna osnovnošolska";4060
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Osnovnošolska";15753
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Srednješolska - Skupaj";32308
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Nižja poklicna, srednja poklicna";15681
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Srednja strokovna, srednja splošna";16627
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Višješolska, visokošolska - Skupaj";8288
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 1. stopnje ipd.";4499
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 2. stopnje ipd.";3504
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 3. stopnje ipd.";285
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Brez izobrazbe, nepopolna osnovnošolska";8570
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Osnovnošolska";32095
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Srednješolska - Skupaj";62337
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Nižja poklicna, srednja poklicna";29833
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Srednja strokovna, srednja splošna";32504
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Višješolska, visokošolska - Skupaj";18130
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 1. stopnje ipd.";9955
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 2. stopnje ipd.";7337
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 3. stopnje ipd.";838
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Brez izobrazbe, nepopolna osnovnošolska";12961
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Osnovnošolska";96235
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Srednješolska - Skupaj";239838
