"Povpreène meseène bruto plaèe (EUR) v javnem in zasebnem sektorju po doseženi izobrazbi in spolu, Slovenija, letno"

"SEKTOR";"SPOL";"DOSEŽENA IZOBRAZBA";"LETO";Povpreène meseène bruto plaèe v javnem in zasebnem sektorju (EUR)
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2010";1007
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2011";1012
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2012";1033
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2013";1039
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2014";1066
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2015";1060
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2016";1067
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2017";1118
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2018";1177
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2010";1415
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2011";1425
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2012";1425
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2013";1409
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2014";1450
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2015";1439
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2016";1459
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2017";1503
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Srednješolska";"2018";1566
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2010";2369
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2011";2362
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2012";2311
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2013";2252
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2014";2283
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2015";2281
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2016";2318
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2017";2359
"11 Javni sektor - SKUPAJ";"Spol - SKUPAJ";"Višješolska, visokošolska";"2018";2401
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2010";939
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2011";989
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2012";1020
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2013";1037
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2014";1068
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2015";1094
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2016";1112
"12 Zasebni sektor - SKUPAJ";"Spol - SKUPAJ";"Osnovnošolska ali manj";"2017";1139
