"Povpre?ne mese?ne pla?e [EUR], Slovenija, mese?no"

"MESEC";"PLA?E";Povpre?ne mese?ne pla?e [EUR]
"2020M09";"Bruto pla?a";1799,07
"2020M08";"Bruto pla?a";1812,66
"2020M07";"Bruto pla?a";1811,28
"2020M06";"Bruto pla?a";1812,72
"2020M05";"Bruto pla?a";1892,31
"2020M04";"Bruto pla?a";1937,21
"2020M03";"Bruto pla?a";1758,27
"2020M02";"Bruto pla?a";1799,66
"2020M01";"Bruto pla?a";1806,50
"2019M12";"Bruto pla?a";1855,25
"2019M11";"Bruto pla?a";1897,90
"2019M10";"Bruto pla?a";1741,70
"2019M09";"Bruto pla?a";1712,11
"2019M08";"Bruto pla?a";1725,91
"2019M07";"Bruto pla?a";1737,42
"2019M06";"Bruto pla?a";1717,78
"2019M05";"Bruto pla?a";1728,12
"2019M04";"Bruto pla?a";1730,70
"2019M03";"Bruto pla?a";1752,34
"2019M02";"Bruto pla?a";1714,49
"2019M01";"Bruto pla?a";1729,15
