"Odseljeni prebivalci, stari 15 ali veè let, po izobrazbi, državi prihodnjega prebivališèa, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVA PRIHODNJEGA PREBIVALIŠÈA";"DRŽAVLJANSTVO";"SPOL";"IZOBRAZBA";Odseljeni prebivalci, stari 15 ali veè let
"2011";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";582
"2011";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";1177
"2011";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";397
"2011";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";498
"2011";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";829
"2011";"Država prihodnjega prebivališèa - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";522
"2011";"EVROPA - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";531
"2011";"EVROPA - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";1023
"2011";"EVROPA - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";333
"2011";"EVROPA - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";457
"2011";"EVROPA - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";740
"2011";"EVROPA - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";428
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";185
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";299
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";93
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";133
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";164
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";63
"2011";"....Bosna in Hercegovina";"Državljani RS";"Moški";"Osnovnošolska ali manj";49
"2011";"....Bosna in Hercegovina";"Državljani RS";"Moški";"Srednješolska";66
"2011";"....Bosna in Hercegovina";"Državljani RS";"Moški";"Višješolska, visokošolska";16
"2011";"....Bosna in Hercegovina";"Državljani RS";"Ženske";"Osnovnošolska ali manj";20
"2011";"....Bosna in Hercegovina";"Državljani RS";"Ženske";"Srednješolska";24
"2011";"....Bosna in Hercegovina";"Državljani RS";"Ženske";"Višješolska, visokošolska";12
"2011";"....Èrna gora";"Državljani RS";"Moški";"Osnovnošolska ali manj";3
"2011";"....Èrna gora";"Državljani RS";"Moški";"Srednješolska";7
"2011";"....Èrna gora";"Državljani RS";"Moški";"Višješolska, visokošolska";2
"2011";"....Èrna gora";"Državljani RS";"Ženske";"Osnovnošolska ali manj";3
"2011";"....Èrna gora";"Državljani RS";"Ženske";"Srednješolska";5
"2011";"....Èrna gora";"Državljani RS";"Ženske";"Višješolska, visokošolska";3
"2011";"....Kosovo";"Državljani RS";"Moški";"Osnovnošolska ali manj";8
"2011";"....Kosovo";"Državljani RS";"Moški";"Srednješolska";8
"2011";"....Kosovo";"Državljani RS";"Moški";"Višješolska, visokošolska";4
"2011";"....Kosovo";"Državljani RS";"Ženske";"Osnovnošolska ali manj";1
"2011";"....Kosovo";"Državljani RS";"Ženske";"Srednješolska";5
"2011";"....Kosovo";"Državljani RS";"Ženske";"Višješolska, visokošolska";3
"2011";"....Severna Makedonija";"Državljani RS";"Moški";"Osnovnošolska ali manj";18
"2011";"....Severna Makedonija";"Državljani RS";"Moški";"Srednješolska";11
"2011";"....Severna Makedonija";"Državljani RS";"Moški";"Višješolska, visokošolska";9
"2011";"....Severna Makedonija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";7
"2011";"....Severna Makedonija";"Državljani RS";"Ženske";"Srednješolska";13
"2011";"....Severna Makedonija";"Državljani RS";"Ženske";"Višješolska, visokošolska";2
"2011";"....Srbija";"Državljani RS";"Moški";"Osnovnošolska ali manj";42
"2011";"....Srbija";"Državljani RS";"Moški";"Srednješolska";56
"2011";"....Srbija";"Državljani RS";"Moški";"Višješolska, visokošolska";25
"2011";"....Srbija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";29
"2011";"....Srbija";"Državljani RS";"Ženske";"Srednješolska";37
"2011";"....Srbija";"Državljani RS";"Ženske";"Višješolska, visokošolska";14
"2011";"- Države EU - SKUPAJ";"Državljani RS";"Moški";"Osnovnošolska ali manj";310
"2011";"- Države EU - SKUPAJ";"Državljani RS";"Moški";"Srednješolska";655
"2011";"- Države EU - SKUPAJ";"Državljani RS";"Moški";"Višješolska, visokošolska";210
"2011";"- Države EU - SKUPAJ";"Državljani RS";"Ženske";"Osnovnošolska ali manj";298
"2011";"- Države EU - SKUPAJ";"Državljani RS";"Ženske";"Srednješolska";526
"2011";"- Države EU - SKUPAJ";"Državljani RS";"Ženske";"Višješolska, visokošolska";335
"2011";"....Avstrija";"Državljani RS";"Moški";"Osnovnošolska ali manj";82
"2011";"....Avstrija";"Državljani RS";"Moški";"Srednješolska";161
"2011";"....Avstrija";"Državljani RS";"Moški";"Višješolska, visokošolska";36
"2011";"....Avstrija";"Državljani RS";"Ženske";"Osnovnošolska ali manj";69
"2011";"....Avstrija";"Državljani RS";"Ženske";"Srednješolska";121
"2011";"....Avstrija";"Državljani RS";"Ženske";"Višješolska, visokošolska";45
"2011";"....Bolgarija";"Državljani RS";"Moški";"Osnovnošolska ali manj";1
"2011";"....Bolgarija";"Državljani RS";"Moški";"Srednješolska";1
