"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2011";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";54
"2011";"Državljani RS";"Moški";"Rudarstvo";4
"2011";"Državljani RS";"Moški";"Predelovalne dejavnosti";193
"2011";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";8
"2011";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";16
"2011";"Državljani RS";"Moški";"Gradbeništvo";118
"2011";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";113
"2011";"Državljani RS";"Moški";"Promet in skladišèenje";77
"2011";"Državljani RS";"Moški";"Gostinstvo";50
"2011";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";41
"2011";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";20
"2011";"Državljani RS";"Moški";"Poslovanje z nepremièninami";1
"2011";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";73
"2011";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";36
"2011";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";81
"2011";"Državljani RS";"Moški";"Izobraževanje";60
"2011";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";45
"2011";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";12
"2011";"Državljani RS";"Moški";"Druge dejavnosti";21
"2011";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2011";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2011";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";50
"2011";"Državljani RS";"Ženske";"Rudarstvo";3
"2011";"Državljani RS";"Ženske";"Predelovalne dejavnosti";132
"2011";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";6
"2011";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";2
"2011";"Državljani RS";"Ženske";"Gradbeništvo";42
"2011";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";102
"2011";"Državljani RS";"Ženske";"Promet in skladišèenje";32
"2011";"Državljani RS";"Ženske";"Gostinstvo";29
"2011";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";14
"2011";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";26
"2011";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";4
"2011";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";52
"2011";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";23
"2011";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";52
"2011";"Državljani RS";"Ženske";"Izobraževanje";58
"2011";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";61
"2011";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";14
"2011";"Državljani RS";"Ženske";"Druge dejavnosti";10
"2011";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2011";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2012";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";90
"2012";"Državljani RS";"Moški";"Rudarstvo";7
"2012";"Državljani RS";"Moški";"Predelovalne dejavnosti";282
"2012";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";11
"2012";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";16
"2012";"Državljani RS";"Moški";"Gradbeništvo";205
"2012";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";211
"2012";"Državljani RS";"Moški";"Promet in skladišèenje";89
"2012";"Državljani RS";"Moški";"Gostinstvo";85
"2012";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";55
"2012";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";45
"2012";"Državljani RS";"Moški";"Poslovanje z nepremièninami";8
"2012";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";114
"2012";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";51
"2012";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";116
"2012";"Državljani RS";"Moški";"Izobraževanje";91
"2012";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";95
"2012";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";34
"2012";"Državljani RS";"Moški";"Druge dejavnosti";29
"2012";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2012";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2012";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";114
"2012";"Državljani RS";"Ženske";"Rudarstvo";1
"2012";"Državljani RS";"Ženske";"Predelovalne dejavnosti";234
"2012";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";7
"2012";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";12
"2012";"Državljani RS";"Ženske";"Gradbeništvo";83
"2012";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";176
"2012";"Državljani RS";"Ženske";"Promet in skladišèenje";59
"2012";"Državljani RS";"Ženske";"Gostinstvo";52
"2012";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";52
"2012";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";45
"2012";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";4
"2012";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";80
"2012";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";43
"2012";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";77
"2012";"Državljani RS";"Ženske";"Izobraževanje";125
"2012";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";93
"2012";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";29
"2012";"Državljani RS";"Ženske";"Druge dejavnosti";30
"2012";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";1
"2012";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2013";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";45
"2013";"Državljani RS";"Moški";"Rudarstvo";0
"2013";"Državljani RS";"Moški";"Predelovalne dejavnosti";280
"2013";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";7
"2013";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";10
"2013";"Državljani RS";"Moški";"Gradbeništvo";158
"2013";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";190
"2013";"Državljani RS";"Moški";"Promet in skladišèenje";89
"2013";"Državljani RS";"Moški";"Gostinstvo";79
"2013";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";95
"2013";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";45
"2013";"Državljani RS";"Moški";"Poslovanje z nepremièninami";7
"2013";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";103
"2013";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";52
"2013";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";118
"2013";"Državljani RS";"Moški";"Izobraževanje";61
"2013";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";46
"2013";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";33
"2013";"Državljani RS";"Moški";"Druge dejavnosti";12
"2013";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";1
"2013";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2013";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";53
"2013";"Državljani RS";"Ženske";"Rudarstvo";1
"2013";"Državljani RS";"Ženske";"Predelovalne dejavnosti";154
"2013";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";13
"2013";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";4
"2013";"Državljani RS";"Ženske";"Gradbeništvo";60
"2013";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";152
"2013";"Državljani RS";"Ženske";"Promet in skladišèenje";56
"2013";"Državljani RS";"Ženske";"Gostinstvo";47
"2013";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";30
"2013";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";40
"2013";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";4
"2013";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";95
"2013";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";56
"2013";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";95
"2013";"Državljani RS";"Ženske";"Izobraževanje";85
"2013";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";100
"2013";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";15
"2013";"Državljani RS";"Ženske";"Druge dejavnosti";28
"2013";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
