"TIME","GEO","SEX","AGE","AGEDEF","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Males","Total","Age reached during the year","Number","37,024","b"
"2010","Belgium","Females","Total","Age reached during the year","Number","28,989","b"
"2010","Bulgaria","Males","Total","Age reached during the year","Number",":",""
"2010","Bulgaria","Females","Total","Age reached during the year","Number",":",""
"2010","Czechia","Males","Total","Age reached during the year","Number","37,421",""
"2010","Czechia","Females","Total","Age reached during the year","Number","23,648",""
"2010","Denmark","Males","Total","Age reached during the year","Number","21,531",""
"2010","Denmark","Females","Total","Age reached during the year","Number","19,925",""
"2010","Germany (until 1990 former territory of the FRG)","Males","Total","Age reached during the year","Number","142,833",""
"2010","Germany (until 1990 former territory of the FRG)","Females","Total","Age reached during the year","Number","109,623",""
"2010","Estonia","Males","Total","Age reached during the year","Number","2,520",""
"2010","Estonia","Females","Total","Age reached during the year","Number","2,774",""
"2010","Ireland","Males","Total","Age reached during the year","Number","41,517",""
"2010","Ireland","Females","Total","Age reached during the year","Number","36,582",""
"2010","Greece","Males","Total","Age reached during the year","Number","32,948",""
"2010","Greece","Females","Total","Age reached during the year","Number","29,093",""
"2010","Spain","Males","Total","Age reached during the year","Number","238,195",""
"2010","Spain","Females","Total","Age reached during the year","Number","165,182",""
"2010","France","Males","Total","Age reached during the year","Number","130,374","b"
"2010","France","Females","Total","Age reached during the year","Number","139,157","b"
"2010","Croatia","Males","Total","Age reached during the year","Number","7,340",""
"2010","Croatia","Females","Total","Age reached during the year","Number","5,677",""
"2010","Italy","Males","Total","Age reached during the year","Number","42,037",""
"2010","Italy","Females","Total","Age reached during the year","Number","36,734",""
"2010","Cyprus","Males","Total","Age reached during the year","Number","1,821",""
"2010","Cyprus","Females","Total","Age reached during the year","Number","2,472",""
"2010","Latvia","Males","Total","Age reached during the year","Number","20,992",""
"2010","Latvia","Females","Total","Age reached during the year","Number","18,659",""
"2010","Lithuania","Males","Total","Age reached during the year","Number","39,963",""
"2010","Lithuania","Females","Total","Age reached during the year","Number","43,194",""
