"Povpreène meseène bruto plaèe (EUR) po dejavnosti (SKD 2008), doseženi izobrazbi in spolu, Slovenija, letno"

"SKD DEJAVNOST";"DOSEŽENA IZOBRAZBA";"SPOL";"LETO";Povpreène meseène bruto plaèe (EUR, SKD 2008)
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2010";1012
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2011";1054
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2012";1049
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2013";1049
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2014";1096
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2015";1104
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2016";1088
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2017";1083
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Moški";"2018";1137
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2010";856
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2011";874
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2012";886
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2013";905
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2014";928
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2015";942
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2016";959
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2017";968
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Osnovnošolska ali manj";"Ženske";"2018";1051
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2010";1192
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2011";1236
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2012";1237
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2013";1230
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2014";1270
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2015";1284
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2016";1254
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2017";1241
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Moški";"2018";1287
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2010";1038
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2011";1082
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2012";1092
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2013";1100
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2014";1123
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2015";1136
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2016";1140
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2017";1154
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Srednješolska";"Ženske";"2018";1201
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2010";2738
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2011";2738
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2012";2688
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2013";2568
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2014";2511
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2015";2380
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2016";2158
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2017";2075
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Moški";"2018";2281
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2010";1854
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2011";1894
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2012";1845
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2013";1755
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2014";1763
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2015";1732
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2016";1722
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Višješolska, visokošolska";"Ženske";"2017";1795
