"Domaèa ponudba in notranja turistièna potrošnja (v kupèevih cenah), Slovenija, veèletno"

"PROIZVODI/STORITVE/TRANSAKCIJE";"2012 ..Gostinske nastanitvene dejavnosti";"2012 ..Gostinske nastanitvene dejavnosti; turistièni delež (vrednost)";"2012 ..Dejavnost strežbe jedi in pijaè";"2012 ..Dejavnost strežbe jedi in pijaè; turistièni delež (vrednost)";"2012 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev";"2012 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev; turistièni delež (vrednost)";"2012 Dejavnost turistiènih agencij in organizatorjev potovanj";"2012 Dejavnost turistiènih agencij in organizatorjev potovanj; turistièni delež (vrednost)";"2012 ..Kulturne dejavnosti";"2012 ..Kulturne dejavnosti; turistièni delež (vrednost)";"2012 ..Športne in rekreacijske dejavnosti";"2012 ..Športne in rekreacijske dejavnosti; turistièni delež (vrednost)";"2012 Skupaj turistiène dejavnosti";"2012 Skupaj turistiène dejavnosti; turistièni delež (vrednost)";"2012 Druge dejavnosti";"2012 Druge dejavnosti; turistièni delež (vrednost)";"2012 Proizvodnja domaèih proizvajalcev (v osnovnih cenah)";"2012 Proizvodnja domaèih proizvajalcev (v osnovnih cenah); turistièni delež (vrednost)";"2012 Uvoz";"2012 Uvoz; turistièni delež (vrednost)";"2012 Davki minus subvencije na domaèe in uvožene proizvode";"2012 Davki minus subvencije na domaèe in uvožene proizvode; turistièni delež (vrednost)";"2012 Domaèa ponudba (v kupèevih cenah)";"2012 Notranja turistièna potrošnja";"2012 Turistièni deleži (Notranja turistièna potrošnja/Domaèa ponudba), %";"2014 ..Gostinske nastanitvene dejavnosti";"2014 ..Gostinske nastanitvene dejavnosti; turistièni delež (vrednost)";"2014 ..Dejavnost strežbe jedi in pijaè";"2014 ..Dejavnost strežbe jedi in pijaè; turistièni delež (vrednost)";"2014 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev";"2014 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev; turistièni delež (vrednost)";"2014 Dejavnost turistiènih agencij in organizatorjev potovanj";"2014 Dejavnost turistiènih agencij in organizatorjev potovanj; turistièni delež (vrednost)";"2014 ..Kulturne dejavnosti";"2014 ..Kulturne dejavnosti; turistièni delež (vrednost)";"2014 ..Športne in rekreacijske dejavnosti";"2014 ..Športne in rekreacijske dejavnosti; turistièni delež (vrednost)";"2014 Skupaj turistiène dejavnosti";"2014 Skupaj turistiène dejavnosti; turistièni delež (vrednost)";"2014 Druge dejavnosti";"2014 Druge dejavnosti; turistièni delež (vrednost)";"2014 Proizvodnja domaèih proizvajalcev (v osnovnih cenah)";"2014 Proizvodnja domaèih proizvajalcev (v osnovnih cenah); turistièni delež (vrednost)";"2014 Uvoz";"2014 Uvoz; turistièni delež (vrednost)";"2014 Davki minus subvencije na domaèe in uvožene proizvode";"2014 Davki minus subvencije na domaèe in uvožene proizvode; turistièni delež (vrednost)";"2014 Domaèa ponudba (v kupèevih cenah)";"2014 Notranja turistièna potrošnja";"2014 Turistièni deleži (Notranja turistièna potrošnja/Domaèa ponudba), %";"2015 ..Gostinske nastanitvene dejavnosti";"2015 ..Gostinske nastanitvene dejavnosti; turistièni delež (vrednost)";"2015 ..Dejavnost strežbe jedi in pijaè";"2015 ..Dejavnost strežbe jedi in pijaè; turistièni delež (vrednost)";"2015 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev";"2015 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev; turistièni delež (vrednost)";"2015 Dejavnost turistiènih agencij in organizatorjev potovanj";"2015 Dejavnost turistiènih agencij in organizatorjev potovanj; turistièni delež (vrednost)";"2015 ..Kulturne dejavnosti";"2015 ..Kulturne dejavnosti; turistièni delež (vrednost)";"2015 ..Športne in rekreacijske dejavnosti";"2015 ..Športne in rekreacijske dejavnosti; turistièni delež (vrednost)";"2015 Skupaj turistiène dejavnosti";"2015 Skupaj turistiène dejavnosti; turistièni delež (vrednost)";"2015 Druge dejavnosti";"2015 Druge dejavnosti; turistièni delež (vrednost)";"2015 Proizvodnja domaèih proizvajalcev (v osnovnih cenah)";"2015 Proizvodnja domaèih proizvajalcev (v osnovnih cenah); turistièni delež (vrednost)";"2015 Uvoz";"2015 Uvoz; turistièni delež (vrednost)";"2015 Davki minus subvencije na domaèe in uvožene proizvode";"2015 Davki minus subvencije na domaèe in uvožene proizvode; turistièni delež (vrednost)";"2015 Domaèa ponudba (v kupèevih cenah)";"2015 Notranja turistièna potrošnja";"2015 Turistièni deleži (Notranja turistièna potrošnja/Domaèa ponudba), %";"2017 ..Gostinske nastanitvene dejavnosti";"2017 ..Gostinske nastanitvene dejavnosti; turistièni delež (vrednost)";"2017 ..Dejavnost strežbe jedi in pijaè";"2017 ..Dejavnost strežbe jedi in pijaè; turistièni delež (vrednost)";"2017 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev";"2017 ..Dejavnosti prevoza potnikov in najema prevoznih sredstev; turistièni delež (vrednost)";"2017 Dejavnost turistiènih agencij in organizatorjev potovanj";"2017 Dejavnost turistiènih agencij in organizatorjev potovanj; turistièni delež (vrednost)";"2017 ..Kulturne dejavnosti";"2017 ..Kulturne dejavnosti; turistièni delež (vrednost)";"2017 ..Športne in rekreacijske dejavnosti";"2017 ..Športne in rekreacijske dejavnosti; turistièni delež (vrednost)";"2017 Skupaj turistiène dejavnosti";"2017 Skupaj turistiène dejavnosti; turistièni delež (vrednost)";"2017 Druge dejavnosti";"2017 Druge dejavnosti; turistièni delež (vrednost)";"2017 Proizvodnja domaèih proizvajalcev (v osnovnih cenah)";"2017 Proizvodnja domaèih proizvajalcev (v osnovnih cenah); turistièni delež (vrednost)";"2017 Uvoz";"2017 Uvoz; turistièni delež (vrednost)";"2017 Davki minus subvencije na domaèe in uvožene proizvode";"2017 Davki minus subvencije na domaèe in uvožene proizvode; turistièni delež (vrednost)";"2017 Domaèa ponudba (v kupèevih cenah)";"2017 Notranja turistièna potrošnja";"2017 Turistièni deleži (Notranja turistièna potrošnja/Domaèa ponudba), %"
"Turistièno znaèilni proizvodi";537.3;489.6;859.0;332.6;551.9;306.3;66.7;62.1;275.0;78.0;584.3;274.5;2874.2;1543.1;409.4;173.8;3283.7;1716.9;0.0;0.0;223.4;164.1;3507.1;1881.0;53.6;521.7;475.1;950.3;368.0;552.5;309.7;67.8;63.1;272.8;77.3;565.0;274.8;2930.1;1568.0;418.0;169.9;3348.1;1737.9;0.0;0.0;251.0;177.8;3599.1;1915.7;53.2;550.0;514.0;920.8;372.4;584.3;320.0;76.8;73.7;289.6;96.2;593.3;273.2;3014.8;1649.5;376.0;189.6;3390.8;1839.2;0.0;0.0;308.1;207.6;3698.9;2046.7;55.3;656.4;612.9;1077.5;459.5;617.3;367.2;91.7;88.0;330.4;109.8;659.6;305.9;3432.9;1943.2;421.3;212.5;3854.2;2155.7;0.0;0.0;353.1;238.1;4207.3;2393.8;56.9
"..Nastanitvene storitve";481.4;463.0;15.2;14.6;0.0;0.0;0.7;0.6;0.1;0.1;5.0;4.8;502.4;483.2;28.0;26.8;530.4;510.0;0.0;0.0;53.3;52.8;583.8;562.8;96.4;467.1;449.2;16.8;16.1;0.0;0.0;0.7;0.6;0.1;0.1;4.7;4.5;489.5;470.6;28.6;27.4;518.1;498.0;0.0;0.0;58.6;58.0;576.6;556.0;96.4;521.0;501.6;20.1;19.3;0.7;0.7;3.0;2.9;0.0;0.0;4.8;4.7;549.7;529.1;34.2;32.8;583.9;561.8;0.0;0.0;67.1;66.5;651.0;628.3;96.5;621.4;598.0;23.5;22.5;0.7;0.7;3.6;3.5;0.0;0.0;5.1;4.9;654.4;629.6;38.3;36.7;692.7;666.3;0.0;0.0;80.3;79.6;773.0;745.9;96.5
"..Strežba hrane in pijaè";37.5;13.9;828.2;307.9;0.4;0.2;7.3;2.7;6.2;2.3;13.9;5.2;893.6;332.2;228.2;84.8;1121.8;417.0;0.0;0.0;104.1;39.9;1225.9;456.9;37.3;36.6;13.6;916.3;340.7;0.4;0.2;7.4;2.8;6.1;2.3;13.2;4.9;980.1;364.4;233.0;79.7;1213.1;444.0;0.0;0.0;125.8;48.2;1338.9;492.3;36.8;25.3;9.9;900.4;352.9;2.5;1.0;4.6;1.8;1.4;0.5;14.1;5.5;948.3;371.7;194.0;76.0;1142.3;447.7;0.0;0.0;127.2;52.7;1269.5;500.5;39.4;30.5;11.9;1053.7;436.7;2.9;1.1;5.5;2.2;1.6;0.6;15.2;6.0;1109.3;458.5;217.4;85.2;1326.7;543.7;0.0;0.0;147.8;63.8;1474.5;607.5;41.2
"..Storitve prevoza potnikov in najema prevoznih sredstev";0.0;0.0;0.0;0.0;541.7;296.5;3.1;3.1;0.0;0.0;0.0;0.0;544.9;299.6;55.6;28.0;600.5;327.7;0.0;0.0;-11.2;15.5;589.3;343.1;58.2;0.0;0.0;0.0;0.0;540.3;297.9;3.2;3.2;0.0;0.0;0.0;0.0;543.6;301.1;56.8;28.0;600.4;329.2;0.0;0.0;-10.7;16.4;589.7;345.6;58.6;0.1;0.1;0.0;0.0;578.5;315.7;0.0;0.0;0.0;0.0;12.8;7.1;591.3;322.9;106.2;64.3;697.5;387.2;0.0;0.0;6.4;26.9;703.9;414.1;58.8;0.1;0.1;0.0;0.0;610.2;361.9;0.0;0.0;0.0;0.0;15.1;8.5;625.5;370.4;119.0;72.1;744.5;442.5;0.0;0.0;8.7;31.8;753.1;474.3;63.0
"..Storitve turistiènih agencij in organizatorjev potovanj";0.1;0.1;0.4;0.4;9.6;9.6;55.5;55.5;0.1;0.1;0.1;0.1;65.8;65.8;5.0;5.0;70.8;70.8;0.0;0.0;11.8;11.8;82.6;82.6;100.0;0.1;0.1;0.4;0.4;11.6;11.6;56.4;56.4;0.1;0.1;0.1;0.1;68.7;68.7;5.2;5.2;73.8;73.8;0.0;0.0;13.5;13.5;87.4;87.4;100.0;0.0;0.0;0.1;0.1;2.6;2.6;67.2;67.2;0.0;0.0;0.5;0.5;70.5;70.5;7.2;7.2;77.7;77.7;0.0;0.0;11.5;11.5;89.2;89.2;100.0;0.0;0.0;0.1;0.1;3.4;3.4;80.2;80.2;0.0;0.0;0.6;0.6;84.4;84.4;8.1;8.1;92.4;92.4;0.0;0.0;13.7;13.7;106.2;106.2;100.0
"..Kulturne storitve";0.9;0.9;1.0;0.3;0.0;0.0;0.1;0.1;268.0;75.3;3.6;1.0;273.6;77.6;49.9;13.3;323.6;90.9;0.0;0.0;6.5;1.8;330.0;92.7;28.1;0.9;0.9;1.1;0.3;0.0;0.0;0.1;0.1;265.8;74.7;3.7;1.1;271.6;77.0;51.0;13.6;322.6;90.6;0.0;0.0;7.2;2.0;329.8;92.6;28.1;0.2;0.2;0.2;0.1;0.0;0.0;1.7;1.7;287.4;95.5;1.1;0.4;290.6;97.8;7.8;1.3;298.4;99.1;0.0;0.0;13.3;4.4;311.7;103.5;33.2;0.2;0.2;0.2;0.1;0.0;0.0;2.1;2.1;328.0;108.9;1.3;0.4;331.8;111.7;8.7;1.5;340.5;113.2;0.0;0.0;15.1;5.0;355.6;118.2;33.2
"..Športne in rekreacijske storitve";17.5;11.6;14.2;9.5;0.1;0.0;0.0;0.0;0.6;0.2;561.6;263.4;594.0;284.7;42.6;15.7;636.6;300.5;0.0;0.0;58.9;42.3;695.4;342.8;49.3;17.1;11.3;15.7;10.5;0.1;0.0;0.0;0.0;0.6;0.2;543.2;264.2;576.7;286.2;43.5;16.1;620.2;302.3;0.0;0.0;56.5;39.6;676.7;341.9;50.5;3.5;2.3;0.0;0.0;0.0;0.0;0.2;0.0;0.8;0.2;560.0;255.0;564.4;257.6;26.7;8.0;591.1;265.6;0.0;0.0;82.6;45.5;673.7;311.1;46.2;4.2;2.8;0.0;0.0;0.0;0.0;0.2;0.1;0.9;0.2;622.2;285.5;627.5;288.5;29.9;9.0;657.4;297.5;0.0;0.0;87.4;44.1;744.8;341.7;45.9
"Drugi proizvodi in storitve";62.4;0.0;77.0;0.0;69.3;0.0;8.7;0.0;11.9;0.0;30.1;0.0;259.4;0.0;65567.9;487.3;65827.3;487.3;24697.7;532.2;4553.5;420.8;95078.6;1644.6;1.7;60.9;0.0;85.2;0.0;71.8;0.0;8.9;0.0;11.8;0.0;29.9;0.0;268.4;0.0;66946.4;495.2;67214.8;495.2;25465.8;532.0;4848.8;464.2;97529.4;1671.4;1.7;64.1;0.0;161.2;0.0;56.6;0.0;6.9;0.0;10.1;0.0;26.2;0.0;325.0;0.0;69064.7;510.0;69389.7;510.0;26346.0;374.6;4950.4;487.8;100686.0;1581.2;1.6;77.2;0.0;188.7;0.0;59.4;0.0;8.2;0.0;11.5;0.0;30.1;0.0;375.1;0.0;77389.2;607.4;77764.3;607.4;31300.6;443.5;5280.2;572.9;114345.1;1874.7;1.6
"I SKUPAJ PROIZVODNJA (v osnovnih cenah)";599.7;489.6;936.0;332.6;621.2;306.3;75.4;62.1;286.9;78.0;614.4;274.5;3133.7;1543.1;65977.3;661.1;69111.0;2204.1;24697.7;532.2;4776.9;584.9;98585.6;3525.6;3.6;582.6;475.1;1035.6;368.0;624.2;309.7;76.7;63.1;284.6;77.3;594.9;274.8;3198.5;1568.0;67364.4;665.1;70562.9;2233.1;25465.8;532.0;5099.8;642.0;101128.5;3587.1;3.5;614.1;514.0;1082.0;372.4;640.9;320.0;83.6;73.7;299.6;96.2;619.5;273.2;3339.8;1649.5;69440.7;699.7;72780.5;2349.2;26346.0;374.6;5258.5;695.4;104384.9;3627.9;3.5;733.6;612.9;1266.2;459.5;676.7;367.2;99.9;88.0;341.9;109.8;689.8;305.9;3808.0;1943.2;77810.5;819.9;81618.5;2763.1;31300.6;443.5;5633.3;811.0;118552.4;4268.5;3.6
"II SKUPAJ VMESNA POTROŠNJA     (v cenah kupcev)";273.2;219.0;521.8;185.4;378.6;190.4;19.8;16.3;146.2;39.7;319.3;118.2;1658.8;769.0;36241.0;273.1;37899.8;1042.0;-;-;-;-;-;-;-;268.3;215.0;580.3;206.2;378.7;191.6;19.2;15.8;122.5;33.3;311.3;118.8;1680.3;780.7;36679.2;270.3;38359.5;1051.0;-;-;-;-;-;-;-;289.4;239.2;601.5;207.0;404.2;201.0;23.4;20.6;138.8;44.6;340.2;127.9;1797.5;840.2;37378.2;284.2;39175.7;1124.4;-;-;-;-;-;-;-;341.8;282.5;699.6;253.9;415.2;223.6;21.2;18.6;151.6;48.7;377.8;142.1;2007.2;969.4;42245.0;330.5;44252.2;1299.9;-;-;-;-;-;-;-
