"Prenoèitvene zmogljivosti, prihodi in prenoèitve turistov po nastanitvenih obratih, Slovenija, letno"

"LETO";"NASTANITVENI OBRATI";"Prihodi turistov - domaèi";"Prihodi turistov - tuji"
"2010";"0 Nastanitveni obrati - SKUPAJ";1250556;2048981
"2010";"1 Hoteli in podobni nastanitveni obrati";650406;1497862
"2010";"2 Kampi";160845;219327
"2010";"3 Drugi nastanitveni obrati";439305;331792
"2011";"0 Nastanitveni obrati - SKUPAJ";1299637;2236157
"2011";"1 Hoteli in podobni nastanitveni obrati";682687;1608133
"2011";"2 Kampi";169539;254784
"2011";"3 Drugi nastanitveni obrati";447410;373240
"2012";"0 Nastanitveni obrati - SKUPAJ";1259036;2376651
"2012";"1 Hoteli in podobni nastanitveni obrati";651494;1679477
"2012";"2 Kampi";166417;261341
"2012";"3 Drugi nastanitveni obrati";441125;435834
"2013";"0 Nastanitveni obrati - SKUPAJ";1244424;2501682
"2013";"1 Hoteli in podobni nastanitveni obrati";637798;1732861
"2013";"2 Kampi";165147;267328
"2013";"3 Drugi nastanitveni obrati";441479;501493
"2014";"0 Nastanitveni obrati - SKUPAJ";1226492;2675071
"2014";"1 Hoteli in podobni nastanitveni obrati";650282;1859668
"2014";"2 Kampi";144308;259565
"2014";"3 Drugi nastanitveni obrati";431902;555838
"2015";"0 Nastanitveni obrati - SKUPAJ";1351860;3022018
"2015";"1 Hoteli in podobni nastanitveni obrati";695692;2037474
"2015";"2 Kampi";167526;291718
"2015";"3 Drugi nastanitveni obrati";488642;692827
"2016";"0 Nastanitveni obrati - SKUPAJ";1437198;3396873
"2016";"1 Hoteli in podobni nastanitveni obrati";727185;2253340
"2016";"2 Kampi";180879;316496
"2016";"3 Drugi nastanitveni obrati";529135;827037
"2017";"0 Nastanitveni obrati - SKUPAJ";1512602;3990682
"2017";"1 Hoteli in podobni nastanitveni obrati";778584;2536946
"2017";"2 Kampi";180917;420995
"2017";"3 Drugi nastanitveni obrati";553101;1032740
"2018";"0 Nastanitveni obrati - SKUPAJ";1508128;4425139
"2018";"1 Hoteli in podobni nastanitveni obrati";747393;2619314
"2018";"2 Kampi";176512;471637
"2018";"3 Drugi nastanitveni obrati";584223;1334187
"2019";"0 Nastanitveni obrati - SKUPAJ";1527695;4701878
"2019";"1 Hoteli in podobni nastanitveni obrati";757213;2758198
"2019";"2 Kampi";185978;527934
"2019";"3 Drugi nastanitveni obrati";584504;1415746
