"Prihodi in prenoèitve domaèih in tujih turistov, obèine, Slovenija, letno"

"OBÈINE";"DRŽAVE";"Prihodi turistov 2018"
"Ajdovšèina";"Države - SKUPAJ";13797
"Ankaran/Ancarano";"Države - SKUPAJ";83402
"Apaèe";"Države - SKUPAJ";725
"Beltinci";"Države - SKUPAJ";256
"Benedikt";"Države - SKUPAJ";952
"Bistrica ob Sotli";"Države - SKUPAJ";145
"Bled";"Države - SKUPAJ";496677
"Bloke";"Države - SKUPAJ";2021
"Bohinj";"Države - SKUPAJ";248639
"Borovnica";"Države - SKUPAJ";407
"Bovec";"Države - SKUPAJ";175705
"Braslovèe";"Države - SKUPAJ";372
"Brda";"Države - SKUPAJ";26159
"Brezovica";"Države - SKUPAJ";2005
"Brežice";"Države - SKUPAJ";202780
"Cankova";"Države - SKUPAJ";801
"Celje";"Države - SKUPAJ";30855
"Cerklje na Gorenjskem";"Države - SKUPAJ";43799
"Cerknica";"Države - SKUPAJ";10109
"Cerkno";"Države - SKUPAJ";17381
"Cerkvenjak";"Države - SKUPAJ";578
"Cirkulane";"Države - SKUPAJ";230
"Èrenšovci";"Države - SKUPAJ";-
"Èrna na Koroškem";"Države - SKUPAJ";472
"Èrnomelj";"Države - SKUPAJ";19620
"Destrnik";"Države - SKUPAJ";484
"Divaèa";"Države - SKUPAJ";15836
"Dobje";"Države - SKUPAJ";z
"Dobrepolje";"Države - SKUPAJ";-
"Dobrna";"Države - SKUPAJ";27066
"Dobrova - Polhov Gradec";"Države - SKUPAJ";979
"Dobrovnik/Dobronak";"Države - SKUPAJ";411
"Dol pri Ljubljani";"Države - SKUPAJ";1239
"Dolenjske Toplice";"Države - SKUPAJ";29736
"Domžale";"Države - SKUPAJ";24825
"Dornava";"Države - SKUPAJ";z
"Dravograd";"Države - SKUPAJ";7666
"Duplek";"Države - SKUPAJ";-
"Gorenja vas - Poljane";"Države - SKUPAJ";4421
"Gorišnica";"Države - SKUPAJ";z
"Gorje";"Države - SKUPAJ";13180
"Gornja Radgona";"Države - SKUPAJ";945
"Gornji Grad";"Države - SKUPAJ";1046
"Gornji Petrovci";"Države - SKUPAJ";126
"Grad";"Države - SKUPAJ";z
"Grosuplje";"Države - SKUPAJ";15479
"Hajdina";"Države - SKUPAJ";5944
"Hoèe - Slivnica";"Države - SKUPAJ";28452
"Hodoš/Hodos";"Države - SKUPAJ";z
"Horjul";"Države - SKUPAJ";z
"Hrastnik";"Države - SKUPAJ";490
"Hrpelje - Kozina";"Države - SKUPAJ";24275
"Idrija";"Države - SKUPAJ";9629
"Ig";"Države - SKUPAJ";1616
"Ilirska Bistrica";"Države - SKUPAJ";6684
"Ivanèna Gorica";"Države - SKUPAJ";2513
"Izola/Isola";"Države - SKUPAJ";140690
"Jesenice";"Države - SKUPAJ";21653
"Jezersko";"Države - SKUPAJ";6956
"Juršinci";"Države - SKUPAJ";z
"Kamnik";"Države - SKUPAJ";37552
"Kanal";"Države - SKUPAJ";2494
"Kidrièevo";"Države - SKUPAJ";z
"Kobarid";"Države - SKUPAJ";67698
"Kobilje";"Države - SKUPAJ";-
"Koèevje";"Države - SKUPAJ";11053
"Komen";"Države - SKUPAJ";4787
"Komenda";"Države - SKUPAJ";957
"Koper/Capodistria";"Države - SKUPAJ";100788
"Kostanjevica na Krki";"Države - SKUPAJ";1928
"Kostel";"Države - SKUPAJ";4598
"Kozje";"Države - SKUPAJ";228
"Kranj";"Države - SKUPAJ";68798
"Kranjska Gora";"Države - SKUPAJ";308193
"Križevci";"Države - SKUPAJ";990
"Krško";"Države - SKUPAJ";8216
"Kungota";"Države - SKUPAJ";3456
"Kuzma";"Države - SKUPAJ";-
"Laško";"Države - SKUPAJ";93057
"Lenart";"Države - SKUPAJ";z
"Lendava/Lendva";"Države - SKUPAJ";35059
"Litija";"Države - SKUPAJ";1201
"Ljubljana";"Države - SKUPAJ";1022862
"Ljubno";"Države - SKUPAJ";6952
"Ljutomer";"Države - SKUPAJ";25752
"Log - Dragomer";"Države - SKUPAJ";z
"Logatec";"Države - SKUPAJ";10001
"Loška dolina";"Države - SKUPAJ";1417
"Loški Potok";"Države - SKUPAJ";1295
"Lovrenc na Pohorju";"Države - SKUPAJ";390
"Luèe";"Države - SKUPAJ";7907
"Lukovica";"Države - SKUPAJ";3902
"Majšperk";"Države - SKUPAJ";z
"Makole";"Države - SKUPAJ";z
"Maribor";"Države - SKUPAJ";208279
"Markovci";"Države - SKUPAJ";-
"Medvode";"Države - SKUPAJ";17985
"Mengeš";"Države - SKUPAJ";2183
"Metlika";"Države - SKUPAJ";15088
"0 Mežica";"Države - SKUPAJ";2838
"Miklavž na Dravskem polju";"Države - SKUPAJ";924
"Miren - Kostanjevica";"Države - SKUPAJ";2450
"Mirna";"Države - SKUPAJ";z
"Mirna Peè";"Države - SKUPAJ";322
"Mislinja";"Države - SKUPAJ";6676
"Mokronog - Trebelno";"Države - SKUPAJ";467
"Moravèe";"Države - SKUPAJ";z
"Moravske Toplice";"Države - SKUPAJ";168760
"Mozirje";"Države - SKUPAJ";12785
"Murska Sobota";"Države - SKUPAJ";24251
"Muta";"Države - SKUPAJ";z
"Naklo";"Države - SKUPAJ";11537
"Nazarje";"Države - SKUPAJ";2414
"Nova Gorica";"Države - SKUPAJ";107616
"Novo mesto";"Države - SKUPAJ";47044
"Odranci";"Države - SKUPAJ";z
"Oplotnica";"Države - SKUPAJ";z
"Ormož";"Države - SKUPAJ";3563
"Osilnica";"Države - SKUPAJ";z
"Pesnica";"Države - SKUPAJ";1624
"Piran/Pirano";"Države - SKUPAJ";604592
"Pivka";"Države - SKUPAJ";4795
"Podèetrtek";"Države - SKUPAJ";122986
"Podlehnik";"Države - SKUPAJ";z
"Podvelka";"Države - SKUPAJ";z
"Poljèane";"Države - SKUPAJ";z
"Polzela";"Države - SKUPAJ";18
"Postojna";"Države - SKUPAJ";105497
"Prebold";"Države - SKUPAJ";3655
"Preddvor";"Države - SKUPAJ";7768
"Prevalje";"Države - SKUPAJ";3623
"Ptuj";"Države - SKUPAJ";64078
"Puconci";"Države - SKUPAJ";1047
"Raèe - Fram";"Države - SKUPAJ";382
"Radeèe";"Države - SKUPAJ";318
"Radenci";"Države - SKUPAJ";42097
"Radlje ob Dravi";"Države - SKUPAJ";1489
"Radovljica";"Države - SKUPAJ";124026
"Ravne na Koroškem";"Države - SKUPAJ";3567
"Razkrižje";"Države - SKUPAJ";z
"Reèica ob Savinji";"Države - SKUPAJ";14752
"Renèe - Vogrsko";"Države - SKUPAJ";10860
"Ribnica";"Države - SKUPAJ";1203
"Ribnica na Pohorju";"Države - SKUPAJ";7489
"Rogaška Slatina";"Države - SKUPAJ";59904
"Rogašovci";"Države - SKUPAJ";866
"Rogatec";"Države - SKUPAJ";1645
"Ruše";"Države - SKUPAJ";6222
"Selnica ob Dravi";"Države - SKUPAJ";4062
"Semiè";"Države - SKUPAJ";5194
"Sevnica";"Države - SKUPAJ";2705
"Sežana";"Države - SKUPAJ";69348
"Slovenj Gradec";"Države - SKUPAJ";6756
"Slovenska Bistrica";"Države - SKUPAJ";20231
"Slovenske Konjice";"Države - SKUPAJ";3614
"Sodražica";"Države - SKUPAJ";z
"Solèava";"Države - SKUPAJ";16838
"Središèe ob Dravi";"Države - SKUPAJ";-
"Starše";"Države - SKUPAJ";z
"Straža";"Države - SKUPAJ";1157
"Sveta Ana";"Države - SKUPAJ";z
"Sveta Trojica v Slov. goricah";"Države - SKUPAJ";40
"Sveti Andraž v Slov. goricah";"Države - SKUPAJ";91
"Sveti Jurij ob Šèavnici";"Države - SKUPAJ";z
"Sveti Jurij v Slov. goricah";"Države - SKUPAJ";z
"Sveti Tomaž";"Države - SKUPAJ";-
"Šalovci";"Države - SKUPAJ";563
"Šempeter - Vrtojba";"Države - SKUPAJ";8331
"Šenèur";"Države - SKUPAJ";8435
"Šentilj";"Države - SKUPAJ";11765
"Šentjernej";"Države - SKUPAJ";543
"Šentjur";"Države - SKUPAJ";465
"Šentrupert";"Države - SKUPAJ";193
"Škocjan";"Države - SKUPAJ";2424
"Škofja Loka";"Države - SKUPAJ";10418
"Škofljica";"Države - SKUPAJ";899
"Šmarje pri Jelšah";"Države - SKUPAJ";783
"Šmarješke Toplice";"Države - SKUPAJ";18023
"Šmartno ob Paki";"Države - SKUPAJ";z
"Šmartno pri Litiji";"Države - SKUPAJ";z
"Šoštanj";"Države - SKUPAJ";33707
"Štore";"Države - SKUPAJ";624
"Tabor";"Države - SKUPAJ";z
"Tišina";"Države - SKUPAJ";-
"Tolmin";"Države - SKUPAJ";56446
"Trbovlje";"Države - SKUPAJ";1230
"Trebnje";"Države - SKUPAJ";11703
"Trnovska vas";"Države - SKUPAJ";-
"Trzin";"Države - SKUPAJ";747
"Tržiè";"Države - SKUPAJ";6702
"Turnišèe";"Države - SKUPAJ";-
"Velenje";"Države - SKUPAJ";13507
"Velika Polana";"Države - SKUPAJ";-
"Velike Lašèe";"Države - SKUPAJ";313
"Veržej";"Države - SKUPAJ";35400
"Videm";"Države - SKUPAJ";5928
"Vipava";"Države - SKUPAJ";7517
"Vitanje";"Države - SKUPAJ";758
"Vodice";"Države - SKUPAJ";819
"Vojnik";"Države - SKUPAJ";3023
"Vransko";"Države - SKUPAJ";2123
"Vrhnika";"Države - SKUPAJ";13122
"Vuzenica";"Države - SKUPAJ";206
"Zagorje ob Savi";"Države - SKUPAJ";1955
"Zavrè";"Države - SKUPAJ";z
"Zreèe";"Države - SKUPAJ";76612
"Žalec";"Države - SKUPAJ";6563
"Železniki";"Države - SKUPAJ";4819
"Žetale";"Države - SKUPAJ";z
"Žiri";"Države - SKUPAJ";493
"Žirovnica";"Države - SKUPAJ";7402
"Žužemberk";"Države - SKUPAJ";2008
