"Prenoèitvene zmogljivosti, prihodi in prenoèitve turistov po vrstah turistiènih obèin, Slovenija, letno"

"LETO";"VRSTE TURISTIÈNIH OBÈIN";"Prihodi turistov - SKUPAJ"
"2010";"0 SLOVENIJA";3299537
"2010";"1 Zdraviliške obèine";791974
"2010";"2 Gorske obèine";856768
"2010";"3 Obmorske obèine";611070
"2010";"4 Ljubljana";430155
"2010";"5 Mestne obèine";269118
"2010";"6 Ostale obèine";340452
"2011";"0 SLOVENIJA";3535794
"2011";"1 Zdraviliške obèine";831525
"2011";"2 Gorske obèine";938580
"2011";"3 Obmorske obèine";656334
"2011";"4 Ljubljana";466243
"2011";"5 Mestne obèine";298956
"2011";"6 Ostale obèine";344156
"2012";"0 SLOVENIJA";3635688
"2012";"1 Zdraviliške obèine";831270
"2012";"2 Gorske obèine";977506
"2012";"3 Obmorske obèine";654105
"2012";"4 Ljubljana";503661
"2012";"5 Mestne obèine";320919
"2012";"6 Ostale obèine";348226
"2013";"0 SLOVENIJA";3746106
"2013";"1 Zdraviliške obèine";834972
"2013";"2 Gorske obèine";1019395
"2013";"3 Obmorske obèine";645013
"2013";"4 Ljubljana";557247
"2013";"5 Mestne obèine";324996
"2013";"6 Ostale obèine";364483
"2014";"0 SLOVENIJA";3901563
"2014";"1 Zdraviliške obèine";858044
"2014";"2 Gorske obèine";1010490
"2014";"3 Obmorske obèine";685848
"2014";"4 Ljubljana";621994
"2014";"5 Mestne obèine";343871
"2014";"6 Ostale obèine";381316
"2015";"0 SLOVENIJA";4373878
"2015";"1 Zdraviliške obèine";899961
"2015";"2 Gorske obèine";1196576
"2015";"3 Obmorske obèine";726534
"2015";"4 Ljubljana";731883
"2015";"5 Mestne obèine";393597
"2015";"6 Ostale obèine";425327
"2016";"0 SLOVENIJA";4834071
"2016";"1 Zdraviliške obèine";944179
"2016";"2 Gorske obèine";1355162
"2016";"3 Obmorske obèine";784990
"2016";"4 Ljubljana";826037
"2016";"5 Mestne obèine";436723
"2016";"6 Ostale obèine";486980
"2017";"0 SLOVENIJA";5503284
"2017";"1 Zdraviliške obèine";998957
"2017";"2 Gorske obèine";1591920
"2017";"3 Obmorske obèine";876608
"2017";"4 Ljubljana";937883
"2017";"5 Mestne obèine";503689
"2017";"6 Ostale obèine";594228
"2018";"0 SLOVENIJA";5933266
"2018";"1 Zdraviliške obèine";1009266
"2018";"2 Gorske obèine";1773461
"2018";"3 Obmorske obèine";929472
"2018";"4 Ljubljana";1022862
"2018";"5 Mestne obèine";507106
"2018";"6 Ostale obèine";691099
"2019";"0 SLOVENIJA";6229573
"2019";"1 Zdraviliške obèine";1010146
"2019";"2 Gorske obèine";1877798
"2019";"3 Obmorske obèine";955789
"2019";"4 Ljubljana";1127904
"2019";"5 Mestne obèine";519990
"2019";"6 Ostale obèine";737946
