"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"SELITVE";"SPOL";Meddržavne selitve
"2011";"EVROPA";"Priseljeni iz tujine";"Moški";8030
"2011";"EVROPA";"Priseljeni iz tujine";"Ženske";5529
"2011";"  Albanija";"Priseljeni iz tujine";"Moški";2
"2011";"  Albanija";"Priseljeni iz tujine";"Ženske";5
"2011";"  Avstrija";"Priseljeni iz tujine";"Moški";70
"2011";"  Avstrija";"Priseljeni iz tujine";"Ženske";23
"2011";"  Belgija";"Priseljeni iz tujine";"Moški";10
"2011";"  Belgija";"Priseljeni iz tujine";"Ženske";5
"2011";"  Bolgarija";"Priseljeni iz tujine";"Moški";530
"2011";"  Bolgarija";"Priseljeni iz tujine";"Ženske";197
"2011";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";2152
"2011";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1235
"2011";"  Èeška republika";"Priseljeni iz tujine";"Moški";12
"2011";"  Èeška republika";"Priseljeni iz tujine";"Ženske";19
"2011";"  Èrna gora";"Priseljeni iz tujine";"Moški";35
"2011";"  Èrna gora";"Priseljeni iz tujine";"Ženske";45
"2011";"  Danska";"Priseljeni iz tujine";"Moški";2
"2011";"  Danska";"Priseljeni iz tujine";"Ženske";2
"2011";"  Francija";"Priseljeni iz tujine";"Moški";36
"2011";"  Francija";"Priseljeni iz tujine";"Ženske";30
"2011";"  Hrvaška";"Priseljeni iz tujine";"Moški";585
"2011";"  Hrvaška";"Priseljeni iz tujine";"Ženske";360
"2011";"  Italija";"Priseljeni iz tujine";"Moški";201
"2011";"  Italija";"Priseljeni iz tujine";"Ženske";118
"2011";"  Kosovo";"Priseljeni iz tujine";"Moški";701
"2011";"  Kosovo";"Priseljeni iz tujine";"Ženske";529
"2011";"  Madžarska";"Priseljeni iz tujine";"Moški";23
"2011";"  Madžarska";"Priseljeni iz tujine";"Ženske";25
"2011";"  Nemèija";"Priseljeni iz tujine";"Moški";105
"2011";"  Nemèija";"Priseljeni iz tujine";"Ženske";66
"2011";"  Nizozemska";"Priseljeni iz tujine";"Moški";22
"2011";"  Nizozemska";"Priseljeni iz tujine";"Ženske";12
"2011";"  Poljska";"Priseljeni iz tujine";"Moški";13
"2011";"  Poljska";"Priseljeni iz tujine";"Ženske";28
"2011";"  Romunija";"Priseljeni iz tujine";"Moški";57
"2011";"  Romunija";"Priseljeni iz tujine";"Ženske";28
"2011";"  Ruska federacija";"Priseljeni iz tujine";"Moški";56
"2011";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";82
"2011";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";544
"2011";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";472
"2011";"  Slovenija";"Priseljeni iz tujine";"Moški";1781
"2011";"  Slovenija";"Priseljeni iz tujine";"Ženske";1537
"2011";"  Srbija";"Priseljeni iz tujine";"Moški";832
"2011";"  Srbija";"Priseljeni iz tujine";"Ženske";342
"2011";"  Švedska";"Priseljeni iz tujine";"Moški";15
"2011";"  Švedska";"Priseljeni iz tujine";"Ženske";4
"2011";"  Švica";"Priseljeni iz tujine";"Moški";7
"2011";"  Švica";"Priseljeni iz tujine";"Ženske";5
"2011";"  Ukrajina";"Priseljeni iz tujine";"Moški";47
"2011";"  Ukrajina";"Priseljeni iz tujine";"Ženske";156
"2011";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";46
"2011";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";31
"2011";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";146
"2011";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";173
"2011";"AFRIKA";"Priseljeni iz tujine";"Moški";53
"2011";"AFRIKA";"Priseljeni iz tujine";"Ženske";10
"2011";"AZIJA";"Priseljeni iz tujine";"Moški";138
"2011";"AZIJA";"Priseljeni iz tujine";"Ženske";138
"2011";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";25
"2011";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";23
"2011";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";64
"2011";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";62
"2011";"  Kanada";"Priseljeni iz tujine";"Moški";8
"2011";"  Kanada";"Priseljeni iz tujine";"Ženske";6
"2011";"  Združene države";"Priseljeni iz tujine";"Moški";35
"2011";"  Združene države";"Priseljeni iz tujine";"Ženske";17
"2011";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";21
"2011";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";39
"2011";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";7
"2011";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";4
"2011";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2011";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2012";"EVROPA";"Priseljeni iz tujine";"Moški";8802
"2012";"EVROPA";"Priseljeni iz tujine";"Ženske";5683
"2012";"  Albanija";"Priseljeni iz tujine";"Moški";4
"2012";"  Albanija";"Priseljeni iz tujine";"Ženske";15
"2012";"  Avstrija";"Priseljeni iz tujine";"Moški";66
"2012";"  Avstrija";"Priseljeni iz tujine";"Ženske";27
"2012";"  Belgija";"Priseljeni iz tujine";"Moški";8
"2012";"  Belgija";"Priseljeni iz tujine";"Ženske";7
"2012";"  Bolgarija";"Priseljeni iz tujine";"Moški";539
"2012";"  Bolgarija";"Priseljeni iz tujine";"Ženske";203
"2012";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";2616
"2012";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1429
"2012";"  Èeška republika";"Priseljeni iz tujine";"Moški";13
"2012";"  Èeška republika";"Priseljeni iz tujine";"Ženske";12
"2012";"  Èrna gora";"Priseljeni iz tujine";"Moški";35
"2012";"  Èrna gora";"Priseljeni iz tujine";"Ženske";41
"2012";"  Danska";"Priseljeni iz tujine";"Moški";5
"2012";"  Danska";"Priseljeni iz tujine";"Ženske";1
"2012";"  Francija";"Priseljeni iz tujine";"Moški";44
"2012";"  Francija";"Priseljeni iz tujine";"Ženske";19
"2012";"  Hrvaška";"Priseljeni iz tujine";"Moški";784
"2012";"  Hrvaška";"Priseljeni iz tujine";"Ženske";328
"2012";"  Italija";"Priseljeni iz tujine";"Moški";295
"2012";"  Italija";"Priseljeni iz tujine";"Ženske";142
"2012";"  Kosovo";"Priseljeni iz tujine";"Moški";726
"2012";"  Kosovo";"Priseljeni iz tujine";"Ženske";633
"2012";"  Madžarska";"Priseljeni iz tujine";"Moški";40
"2012";"  Madžarska";"Priseljeni iz tujine";"Ženske";39
"2012";"  Nemèija";"Priseljeni iz tujine";"Moški";127
"2012";"  Nemèija";"Priseljeni iz tujine";"Ženske";70
"2012";"  Nizozemska";"Priseljeni iz tujine";"Moški";23
"2012";"  Nizozemska";"Priseljeni iz tujine";"Ženske";5
"2012";"  Poljska";"Priseljeni iz tujine";"Moški";36
"2012";"  Poljska";"Priseljeni iz tujine";"Ženske";42
"2012";"  Romunija";"Priseljeni iz tujine";"Moški";44
"2012";"  Romunija";"Priseljeni iz tujine";"Ženske";36
"2012";"  Ruska federacija";"Priseljeni iz tujine";"Moški";112
"2012";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";129
