"Priseljeni prebivalci, stari 15 ali veè let, po izobrazbi, državljanstvu, državi prejšnjega prebivališèa in spolu, Slovenija, letno"

"LETO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"DRŽAVLJANSTVO";"SPOL";"IZOBRAZBA";Priseljeni prebivalci, stari 15 ali veè let
"2011";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";2028
"2011";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";3437
"2011";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";380
"2011";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1742
"2011";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";1245
"2011";"Država prejšnjega prebivališèa - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";577
"2011";"EVROPA - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";1940
"2011";"EVROPA - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";3304
"2011";"EVROPA - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";332
"2011";"EVROPA - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1627
"2011";"EVROPA - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";1177
"2011";"EVROPA - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";538
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";1443
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";2760
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";139
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";1212
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";903
"2011";"- Države nastale na obmoèju nekdanje Jugoslavije - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";335
"2011";"....Bosna in Hercegovina";"Tuji državljani";"Moški";"Osnovnošolska ali manj";494
"2011";"....Bosna in Hercegovina";"Tuji državljani";"Moški";"Srednješolska";1399
"2011";"....Bosna in Hercegovina";"Tuji državljani";"Moški";"Višješolska, visokošolska";17
"2011";"....Bosna in Hercegovina";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";532
"2011";"....Bosna in Hercegovina";"Tuji državljani";"Ženske";"Srednješolska";370
"2011";"....Bosna in Hercegovina";"Tuji državljani";"Ženske";"Višješolska, visokošolska";95
"2011";"....Èrna gora";"Tuji državljani";"Moški";"Osnovnošolska ali manj";13
"2011";"....Èrna gora";"Tuji državljani";"Moški";"Srednješolska";13
"2011";"....Èrna gora";"Tuji državljani";"Moški";"Višješolska, visokošolska";4
"2011";"....Èrna gora";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";17
"2011";"....Èrna gora";"Tuji državljani";"Ženske";"Srednješolska";12
"2011";"....Èrna gora";"Tuji državljani";"Ženske";"Višješolska, visokošolska";13
"2011";"....Kosovo";"Tuji državljani";"Moški";"Osnovnošolska ali manj";334
"2011";"....Kosovo";"Tuji državljani";"Moški";"Srednješolska";164
"2011";"....Kosovo";"Tuji državljani";"Moški";"Višješolska, visokošolska";4
"2011";"....Kosovo";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";210
"2011";"....Kosovo";"Tuji državljani";"Ženske";"Srednješolska";119
"2011";"....Kosovo";"Tuji državljani";"Ženske";"Višješolska, visokošolska";47
"2011";"....Severna Makedonija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";246
"2011";"....Severna Makedonija";"Tuji državljani";"Moški";"Srednješolska";254
"2011";"....Severna Makedonija";"Tuji državljani";"Moški";"Višješolska, visokošolska";20
"2011";"....Severna Makedonija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";201
"2011";"....Severna Makedonija";"Tuji državljani";"Ženske";"Srednješolska";141
"2011";"....Severna Makedonija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";54
"2011";"....Srbija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";228
"2011";"....Srbija";"Tuji državljani";"Moški";"Srednješolska";566
"2011";"....Srbija";"Tuji državljani";"Moški";"Višješolska, visokošolska";44
"2011";"....Srbija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";120
"2011";"....Srbija";"Tuji državljani";"Ženske";"Srednješolska";127
"2011";"....Srbija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";61
"2011";"Države EU - SKUPAJ";"Tuji državljani";"Moški";"Osnovnošolska ali manj";471
"2011";"Države EU - SKUPAJ";"Tuji državljani";"Moški";"Srednješolska";511
"2011";"Države EU - SKUPAJ";"Tuji državljani";"Moški";"Višješolska, visokošolska";140
"2011";"Države EU - SKUPAJ";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";283
"2011";"Države EU - SKUPAJ";"Tuji državljani";"Ženske";"Srednješolska";214
"2011";"Države EU - SKUPAJ";"Tuji državljani";"Ženske";"Višješolska, visokošolska";137
"2011";"....Avstrija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";23
"2011";"....Avstrija";"Tuji državljani";"Moški";"Srednješolska";40
"2011";"....Avstrija";"Tuji državljani";"Moški";"Višješolska, visokošolska";6
"2011";"....Avstrija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";16
"2011";"....Avstrija";"Tuji državljani";"Ženske";"Srednješolska";9
"2011";"....Avstrija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";5
"2011";"....Belgija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";2
"2011";"....Belgija";"Tuji državljani";"Moški";"Srednješolska";7
"2011";"....Belgija";"Tuji državljani";"Moški";"Višješolska, visokošolska";3
"2011";"....Belgija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";0
"2011";"....Belgija";"Tuji državljani";"Ženske";"Srednješolska";3
"2011";"....Belgija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";2
"2011";"....Bolgarija";"Tuji državljani";"Moški";"Osnovnošolska ali manj";233
"2011";"....Bolgarija";"Tuji državljani";"Moški";"Srednješolska";191
"2011";"....Bolgarija";"Tuji državljani";"Moški";"Višješolska, visokošolska";14
"2011";"....Bolgarija";"Tuji državljani";"Ženske";"Osnovnošolska ali manj";79
"2011";"....Bolgarija";"Tuji državljani";"Ženske";"Srednješolska";59
"2011";"....Bolgarija";"Tuji državljani";"Ženske";"Višješolska, visokošolska";19
