"Priseljeni prebivalci po državi prejšnjega prebivališèa, državljanstvu in starostnih skupinah, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"STAROSTNE SKUPINE";Priseljeni prebivalci
"2011";"Tuji državljani";"....Bosna in Hercegovina";"0-14";501
"2011";"Tuji državljani";"....Bosna in Hercegovina";"15-19";206
"2011";"Tuji državljani";"....Bosna in Hercegovina";"20-24";541
"2011";"Tuji državljani";"....Bosna in Hercegovina";"25-29";655
"2011";"Tuji državljani";"....Bosna in Hercegovina";"30-34";439
"2011";"Tuji državljani";"....Bosna in Hercegovina";"35-39";326
"2011";"Tuji državljani";"....Bosna in Hercegovina";"40-44";252
"2011";"Tuji državljani";"....Bosna in Hercegovina";"45-49";217
"2011";"Tuji državljani";"....Bosna in Hercegovina";"50-54";146
"2011";"Tuji državljani";"....Bosna in Hercegovina";"55-59";76
"2011";"Tuji državljani";"....Bosna in Hercegovina";"60-64";21
"2011";"Tuji državljani";"....Bosna in Hercegovina";"65 +";28
"2011";"Tuji državljani";"....Èrna gora";"0-14";8
"2011";"Tuji državljani";"....Èrna gora";"15-19";3
"2011";"Tuji državljani";"....Èrna gora";"20-24";16
"2011";"Tuji državljani";"....Èrna gora";"25-29";22
"2011";"Tuji državljani";"....Èrna gora";"30-34";8
"2011";"Tuji državljani";"....Èrna gora";"35-39";11
"2011";"Tuji državljani";"....Èrna gora";"40-44";1
"2011";"Tuji državljani";"....Èrna gora";"45-49";4
"2011";"Tuji državljani";"....Èrna gora";"50-54";0
"2011";"Tuji državljani";"....Èrna gora";"55-59";1
"2011";"Tuji državljani";"....Èrna gora";"60-64";1
"2011";"Tuji državljani";"....Èrna gora";"65 +";5
"2011";"Tuji državljani";"....Kosovo";"0-14";297
"2011";"Tuji državljani";"....Kosovo";"15-19";119
"2011";"Tuji državljani";"....Kosovo";"20-24";169
"2011";"Tuji državljani";"....Kosovo";"25-29";185
"2011";"Tuji državljani";"....Kosovo";"30-34";126
"2011";"Tuji državljani";"....Kosovo";"35-39";114
"2011";"Tuji državljani";"....Kosovo";"40-44";76
"2011";"Tuji državljani";"....Kosovo";"45-49";47
"2011";"Tuji državljani";"....Kosovo";"50-54";21
"2011";"Tuji državljani";"....Kosovo";"55-59";11
"2011";"Tuji državljani";"....Kosovo";"60-64";2
"2011";"Tuji državljani";"....Kosovo";"65 +";8
"2011";"Tuji državljani";"....Severna Makedonija";"0-14";195
"2011";"Tuji državljani";"....Severna Makedonija";"15-19";99
"2011";"Tuji državljani";"....Severna Makedonija";"20-24";176
"2011";"Tuji državljani";"....Severna Makedonija";"25-29";183
"2011";"Tuji državljani";"....Severna Makedonija";"30-34";114
"2011";"Tuji državljani";"....Severna Makedonija";"35-39";96
"2011";"Tuji državljani";"....Severna Makedonija";"40-44";95
"2011";"Tuji državljani";"....Severna Makedonija";"45-49";72
"2011";"Tuji državljani";"....Severna Makedonija";"50-54";49
"2011";"Tuji državljani";"....Severna Makedonija";"55-59";20
"2011";"Tuji državljani";"....Severna Makedonija";"60-64";7
"2011";"Tuji državljani";"....Severna Makedonija";"65 +";5
"2011";"Tuji državljani";"....Srbija";"0-14";94
"2011";"Tuji državljani";"....Srbija";"15-19";30
"2011";"Tuji državljani";"....Srbija";"20-24";139
"2011";"Tuji državljani";"....Srbija";"25-29";191
"2011";"Tuji državljani";"....Srbija";"30-34";195
"2011";"Tuji državljani";"....Srbija";"35-39";147
"2011";"Tuji državljani";"....Srbija";"40-44";150
"2011";"Tuji državljani";"....Srbija";"45-49";118
"2011";"Tuji državljani";"....Srbija";"50-54";91
"2011";"Tuji državljani";"....Srbija";"55-59";50
"2011";"Tuji državljani";"....Srbija";"60-64";16
"2011";"Tuji državljani";"....Srbija";"65 +";19
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"0-14";126
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"15-19";33
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"20-24";152
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"25-29";260
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"30-34";288
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"35-39";211
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"40-44";242
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"45-49";175
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"50-54";128
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"55-59";65
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"60-64";90
"2011";"Tuji državljani";" - Države EU - SKUPAJ";"65 +";112
"2011";"Tuji državljani";"....Avstrija";"0-14";1
"2011";"Tuji državljani";"....Avstrija";"15-19";1
"2011";"Tuji državljani";"....Avstrija";"20-24";3
"2011";"Tuji državljani";"....Avstrija";"25-29";10
"2011";"Tuji državljani";"....Avstrija";"30-34";7
"2011";"Tuji državljani";"....Avstrija";"35-39";8
"2011";"Tuji državljani";"....Avstrija";"40-44";10
"2011";"Tuji državljani";"....Avstrija";"45-49";11
"2011";"Tuji državljani";"....Avstrija";"50-54";10
"2011";"Tuji državljani";"....Avstrija";"55-59";7
"2011";"Tuji državljani";"....Avstrija";"60-64";18
"2011";"Tuji državljani";"....Avstrija";"65 +";14
"2011";"Tuji državljani";"....Belgija";"0-14";1
"2011";"Tuji državljani";"....Belgija";"15-19";0
"2011";"Tuji državljani";"....Belgija";"20-24";1
"2011";"Tuji državljani";"....Belgija";"25-29";2
"2011";"Tuji državljani";"....Belgija";"30-34";4
"2011";"Tuji državljani";"....Belgija";"35-39";5
"2011";"Tuji državljani";"....Belgija";"40-44";2
"2011";"Tuji državljani";"....Belgija";"45-49";1
"2011";"Tuji državljani";"....Belgija";"50-54";0
"2011";"Tuji državljani";"....Belgija";"55-59";2
"2011";"Tuji državljani";"....Belgija";"60-64";0
"2011";"Tuji državljani";"....Belgija";"65 +";0
"2011";"Tuji državljani";"....Bolgarija";"0-14";27
"2011";"Tuji državljani";"....Bolgarija";"15-19";12
"2011";"Tuji državljani";"....Bolgarija";"20-24";44
"2011";"Tuji državljani";"....Bolgarija";"25-29";95
"2011";"Tuji državljani";"....Bolgarija";"30-34";113
"2011";"Tuji državljani";"....Bolgarija";"35-39";75
"2011";"Tuji državljani";"....Bolgarija";"40-44";110
"2011";"Tuji državljani";"....Bolgarija";"45-49";76
"2011";"Tuji državljani";"....Bolgarija";"50-54";44
"2011";"Tuji državljani";"....Bolgarija";"55-59";16
"2011";"Tuji državljani";"....Bolgarija";"60-64";7
"2011";"Tuji državljani";"....Bolgarija";"65 +";3
"2011";"Tuji državljani";"....Hrvaška";"0-14";33
"2011";"Tuji državljani";"....Hrvaška";"15-19";21
"2011";"Tuji državljani";"....Hrvaška";"20-24";165
"2011";"Tuji državljani";"....Hrvaška";"25-29";139
"2011";"Tuji državljani";"....Hrvaška";"30-34";128
"2011";"Tuji državljani";"....Hrvaška";"35-39";78
"2011";"Tuji državljani";"....Hrvaška";"40-44";71
"2011";"Tuji državljani";"....Hrvaška";"45-49";73
"2011";"Tuji državljani";"....Hrvaška";"50-54";83
"2011";"Tuji državljani";"....Hrvaška";"55-59";43
"2011";"Tuji državljani";"....Hrvaška";"60-64";26
"2011";"Tuji državljani";"....Hrvaška";"65 +";46
"2011";"Tuji državljani";"....Italija";"0-14";38
"2011";"Tuji državljani";"....Italija";"15-19";3
"2011";"Tuji državljani";"....Italija";"20-24";13
"2011";"Tuji državljani";"....Italija";"25-29";27
"2011";"Tuji državljani";"....Italija";"30-34";48
"2011";"Tuji državljani";"....Italija";"35-39";37
"2011";"Tuji državljani";"....Italija";"40-44";45
"2011";"Tuji državljani";"....Italija";"45-49";34
"2011";"Tuji državljani";"....Italija";"50-54";23
"2011";"Tuji državljani";"....Italija";"55-59";14
"2011";"Tuji državljani";"....Italija";"60-64";14
"2011";"Tuji državljani";"....Italija";"65 +";26
"2011";"Tuji državljani";"....Nemèija";"0-14";6
