"Priseljeni tujci po namenu priselitve in državi državljanstva, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"NAMEN PRISELITVE";Priseljeni tujci
"2005";"Države EU";"Zaposlitev";185
"2005";"Države EU";"Sezonsko delo";0
"2005";"Države EU";"Združitev z družino";72
"2005";"Države EU";"Študij";122
"2005";"Države EU";"Drugo";454
"2005";"Države EU";"Neznano";844
"2005";"... Hrvaška";"Zaposlitev";...
"2005";"... Hrvaška";"Sezonsko delo";...
"2005";"... Hrvaška";"Združitev z družino";...
"2005";"... Hrvaška";"Študij";...
"2005";"... Hrvaška";"Drugo";...
"2005";"... Hrvaška";"Neznano";...
"2005";"... druge države èlanice EU";"Zaposlitev";...
"2005";"... druge države èlanice EU";"Sezonsko delo";...
"2005";"... druge države èlanice EU";"Združitev z družino";...
"2005";"... druge države èlanice EU";"Študij";...
"2005";"... druge države èlanice EU";"Drugo";...
"2005";"... druge države èlanice EU";"Neznano";...
"2005";"Bosna in Hercegovina";"Zaposlitev";2049
"2005";"Bosna in Hercegovina";"Sezonsko delo";1256
"2005";"Bosna in Hercegovina";"Združitev z družino";780
"2005";"Bosna in Hercegovina";"Študij";34
"2005";"Bosna in Hercegovina";"Drugo";36
"2005";"Bosna in Hercegovina";"Neznano";152
"2005";"Hrvaška";"Zaposlitev";313
"2005";"Hrvaška";"Sezonsko delo";z
"2005";"Hrvaška";"Združitev z družino";295
"2005";"Hrvaška";"Študij";101
"2005";"Hrvaška";"Drugo";58
"2005";"Hrvaška";"Neznano";z
"2005";"Srbija";"Zaposlitev";...
"2005";"Srbija";"Sezonsko delo";...
"2005";"Srbija";"Združitev z družino";...
"2005";"Srbija";"Študij";...
"2005";"Srbija";"Drugo";...
"2005";"Srbija";"Neznano";...
"2005";"Srbija in Èrna gora";"Zaposlitev";1246
"2005";"Srbija in Èrna gora";"Sezonsko delo";1101
"2005";"Srbija in Èrna gora";"Združitev z družino";680
"2005";"Srbija in Èrna gora";"Študij";77
"2005";"Srbija in Èrna gora";"Drugo";29
"2005";"Srbija in Èrna gora";"Neznano";191
"2005";"Èrna gora";"Zaposlitev";...
"2005";"Èrna gora";"Sezonsko delo";...
"2005";"Èrna gora";"Združitev z družino";...
"2005";"Èrna gora";"Študij";...
"2005";"Èrna gora";"Drugo";...
"2005";"Èrna gora";"Neznano";...
"2005";"Kosovo";"Zaposlitev";...
"2005";"Kosovo";"Sezonsko delo";...
"2005";"Kosovo";"Združitev z družino";...
"2005";"Kosovo";"Študij";...
"2005";"Kosovo";"Drugo";...
"2005";"Kosovo";"Neznano";...
"2005";"Druge evropske države";"Zaposlitev";1046
"2005";"Druge evropske države";"Sezonsko delo";743
"2005";"Druge evropske države";"Združitev z družino";617
"2005";"Druge evropske države";"Študij";82
"2005";"Druge evropske države";"Drugo";17
"2005";"Druge evropske države";"Neznano";94
"2005";"Neevropske države";"Zaposlitev";134
"2005";"Neevropske države";"Sezonsko delo";z
"2005";"Neevropske države";"Združitev z družino";139
"2005";"Neevropske države";"Študij";67
"2005";"Neevropske države";"Drugo";7
"2005";"Neevropske države";"Neznano";z
"2005";"Neznano";"Zaposlitev";0
"2005";"Neznano";"Sezonsko delo";0
"2005";"Neznano";"Združitev z družino";0
"2005";"Neznano";"Študij";0
"2005";"Neznano";"Drugo";4
"2005";"Neznano";"Neznano";0
"2006";"Države EU";"Zaposlitev";707
"2006";"Države EU";"Sezonsko delo";0
"2006";"Države EU";"Združitev z družino";161
"2006";"Države EU";"Študij";69
"2006";"Države EU";"Drugo";309
"2006";"Države EU";"Neznano";93
"2006";"... Hrvaška";"Zaposlitev";...
"2006";"... Hrvaška";"Sezonsko delo";...
"2006";"... Hrvaška";"Združitev z družino";...
"2006";"... Hrvaška";"Študij";...
"2006";"... Hrvaška";"Drugo";...
"2006";"... Hrvaška";"Neznano";...
"2006";"... druge države èlanice EU";"Zaposlitev";...
"2006";"... druge države èlanice EU";"Sezonsko delo";...
"2006";"... druge države èlanice EU";"Združitev z družino";...
"2006";"... druge države èlanice EU";"Študij";...
"2006";"... druge države èlanice EU";"Drugo";...
"2006";"... druge države èlanice EU";"Neznano";...
"2006";"Bosna in Hercegovina";"Zaposlitev";3661
"2006";"Bosna in Hercegovina";"Sezonsko delo";2847
"2006";"Bosna in Hercegovina";"Združitev z družino";964
"2006";"Bosna in Hercegovina";"Študij";66
"2006";"Bosna in Hercegovina";"Drugo";46
"2006";"Bosna in Hercegovina";"Neznano";287
"2006";"Hrvaška";"Zaposlitev";387
"2006";"Hrvaška";"Sezonsko delo";z
"2006";"Hrvaška";"Združitev z družino";292
"2006";"Hrvaška";"Študij";z
"2006";"Hrvaška";"Drugo";77
"2006";"Hrvaška";"Neznano";38
"2006";"Srbija";"Zaposlitev";...
"2006";"Srbija";"Sezonsko delo";...
"2006";"Srbija";"Združitev z družino";...
"2006";"Srbija";"Študij";...
"2006";"Srbija";"Drugo";...
"2006";"Srbija";"Neznano";...
"2006";"Srbija in Èrna gora";"Zaposlitev";1932
"2006";"Srbija in Èrna gora";"Sezonsko delo";1499
"2006";"Srbija in Èrna gora";"Združitev z družino";734
"2006";"Srbija in Èrna gora";"Študij";73
"2006";"Srbija in Èrna gora";"Drugo";35
"2006";"Srbija in Èrna gora";"Neznano";163
"2006";"Èrna gora";"Zaposlitev";...
"2006";"Èrna gora";"Sezonsko delo";...
"2006";"Èrna gora";"Združitev z družino";...
"2006";"Èrna gora";"Študij";...
"2006";"Èrna gora";"Drugo";...
"2006";"Èrna gora";"Neznano";...
"2006";"Kosovo";"Zaposlitev";...
"2006";"Kosovo";"Sezonsko delo";...
"2006";"Kosovo";"Združitev z družino";...
"2006";"Kosovo";"Študij";...
"2006";"Kosovo";"Drugo";...
"2006";"Kosovo";"Neznano";...
"2006";"Druge evropske države";"Zaposlitev";1204
"2006";"Druge evropske države";"Sezonsko delo";884
"2006";"Druge evropske države";"Združitev z družino";665
"2006";"Druge evropske države";"Študij";105
"2006";"Druge evropske države";"Drugo";33
"2006";"Druge evropske države";"Neznano";161
"2006";"Neevropske države";"Zaposlitev";142
"2006";"Neevropske države";"Sezonsko delo";z
"2006";"Neevropske države";"Združitev z družino";132
"2006";"Neevropske države";"Študij";z
"2006";"Neevropske države";"Drugo";z
"2006";"Neevropske države";"Neznano";18
"2006";"Neznano";"Zaposlitev";4
"2006";"Neznano";"Sezonsko delo";0
"2006";"Neznano";"Združitev z družino";8
"2006";"Neznano";"Študij";z
"2006";"Neznano";"Drugo";z
"2006";"Neznano";"Neznano";0
"2007";"Države EU";"Zaposlitev";1806
"2007";"Države EU";"Sezonsko delo";z
"2007";"Države EU";"Združitev z družino";302
"2007";"Države EU";"Študij";67
"2007";"Države EU";"Drugo";463
"2007";"Države EU";"Neznano";z
"2007";"... Hrvaška";"Zaposlitev";...
"2007";"... Hrvaška";"Sezonsko delo";...
"2007";"... Hrvaška";"Združitev z družino";...
"2007";"... Hrvaška";"Študij";...
"2007";"... Hrvaška";"Drugo";...
"2007";"... Hrvaška";"Neznano";...
"2007";"... druge države èlanice EU";"Zaposlitev";...
"2007";"... druge države èlanice EU";"Sezonsko delo";...
"2007";"... druge države èlanice EU";"Združitev z družino";...
"2007";"... druge države èlanice EU";"Študij";...
"2007";"... druge države èlanice EU";"Drugo";...
"2007";"... druge države èlanice EU";"Neznano";...
"2007";"Bosna in Hercegovina";"Zaposlitev";7477
"2007";"Bosna in Hercegovina";"Sezonsko delo";3287
"2007";"Bosna in Hercegovina";"Združitev z družino";1565
"2007";"Bosna in Hercegovina";"Študij";78
"2007";"Bosna in Hercegovina";"Drugo";35
"2007";"Bosna in Hercegovina";"Neznano";37
"2007";"Hrvaška";"Zaposlitev";627
"2007";"Hrvaška";"Sezonsko delo";204
"2007";"Hrvaška";"Združitev z družino";375
"2007";"Hrvaška";"Študij";146
"2007";"Hrvaška";"Drugo";48
"2007";"Hrvaška";"Neznano";0
"2007";"Srbija";"Zaposlitev";3219
"2007";"Srbija";"Sezonsko delo";1755
"2007";"Srbija";"Združitev z družino";1254
"2007";"Srbija";"Študij";108
"2007";"Srbija";"Drugo";21
"2007";"Srbija";"Neznano";11
"2007";"Srbija in Èrna gora";"Zaposlitev";...
"2007";"Srbija in Èrna gora";"Sezonsko delo";...
"2007";"Srbija in Èrna gora";"Združitev z družino";...
"2007";"Srbija in Èrna gora";"Študij";...
"2007";"Srbija in Èrna gora";"Drugo";...
"2007";"Srbija in Èrna gora";"Neznano";...
"2007";"Èrna gora";"Zaposlitev";z
"2007";"Èrna gora";"Sezonsko delo";6
"2007";"Èrna gora";"Združitev z družino";z
"2007";"Èrna gora";"Študij";16
"2007";"Èrna gora";"Drugo";z
"2007";"Èrna gora";"Neznano";0
"2007";"Kosovo";"Zaposlitev";...
"2007";"Kosovo";"Sezonsko delo";...
"2007";"Kosovo";"Združitev z družino";...
"2007";"Kosovo";"Študij";...
"2007";"Kosovo";"Drugo";...
"2007";"Kosovo";"Neznano";...
"2007";"Druge evropske države";"Zaposlitev";1760
"2007";"Druge evropske države";"Sezonsko delo";925
"2007";"Druge evropske države";"Združitev z družino";1030
"2007";"Druge evropske države";"Študij";175
"2007";"Druge evropske države";"Drugo";z
"2007";"Druge evropske države";"Neznano";z
"2007";"Neevropske države";"Zaposlitev";239
"2007";"Neevropske države";"Sezonsko delo";z
"2007";"Neevropske države";"Združitev z družino";224
"2007";"Neevropske države";"Študij";116
"2007";"Neevropske države";"Drugo";z
"2007";"Neevropske države";"Neznano";z
