"Priseljeni zaposleni prebivalci po dejavnosti, državljanstvu in spolu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Priseljeni zaposleni prebivalci
"2011";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";23
"2011";"Tuji državljani";"Moški";"Rudarstvo";5
"2011";"Tuji državljani";"Moški";"Predelovalne dejavnosti";841
"2011";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";5
"2011";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";24
"2011";"Tuji državljani";"Moški";"Gradbeništvo";1401
"2011";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";245
"2011";"Tuji državljani";"Moški";"Promet in skladišèenje";794
"2011";"Tuji državljani";"Moški";"Gostinstvo";222
"2011";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";31
"2011";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";10
"2011";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";14
"2011";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";190
"2011";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";292
"2011";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";9
"2011";"Tuji državljani";"Moški";"Izobraževanje";43
"2011";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";35
"2011";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";44
"2011";"Tuji državljani";"Moški";"Druge dejavnosti";24
"2011";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";7
"2011";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2011";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";3
"2011";"Tuji državljani";"Ženske";"Rudarstvo";0
"2011";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";118
"2011";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";0
"2011";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";3
"2011";"Tuji državljani";"Ženske";"Gradbeništvo";47
"2011";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";94
"2011";"Tuji državljani";"Ženske";"Promet in skladišèenje";29
"2011";"Tuji državljani";"Ženske";"Gostinstvo";175
"2011";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";17
"2011";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";5
"2011";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";10
"2011";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";114
"2011";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";144
"2011";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";3
"2011";"Tuji državljani";"Ženske";"Izobraževanje";37
"2011";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";73
"2011";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";26
"2011";"Tuji državljani";"Ženske";"Druge dejavnosti";37
"2011";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";7
"2011";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2012";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";41
"2012";"Tuji državljani";"Moški";"Rudarstvo";3
"2012";"Tuji državljani";"Moški";"Predelovalne dejavnosti";1130
"2012";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";12
"2012";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";41
"2012";"Tuji državljani";"Moški";"Gradbeništvo";1487
"2012";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";267
"2012";"Tuji državljani";"Moški";"Promet in skladišèenje";970
"2012";"Tuji državljani";"Moški";"Gostinstvo";248
"2012";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";44
"2012";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";11
"2012";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";18
"2012";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";232
"2012";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";229
"2012";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";4
"2012";"Tuji državljani";"Moški";"Izobraževanje";37
"2012";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";60
"2012";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";43
"2012";"Tuji državljani";"Moški";"Druge dejavnosti";34
"2012";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";4
"2012";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
