"Selitveno gibanje prebivalstva, statistiène regije, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"MERITVE";Selitveno gibanje prebivalstva
"2011";"Pomurska";"Priseljeni iz tujine - Moški";211
"2011";"Pomurska";"Priseljeni iz tujine - Ženske";199
"2011";"Podravska";"Priseljeni iz tujine - Moški";1210
"2011";"Podravska";"Priseljeni iz tujine - Ženske";705
"2011";"Koroška";"Priseljeni iz tujine - Moški";156
"2011";"Koroška";"Priseljeni iz tujine - Ženske";146
"2011";"Savinjska";"Priseljeni iz tujine - Moški";975
"2011";"Savinjska";"Priseljeni iz tujine - Ženske";559
"2011";"Zasavska";"Priseljeni iz tujine - Moški";89
"2011";"Zasavska";"Priseljeni iz tujine - Ženske";60
"2011";"Posavska";"Priseljeni iz tujine - Moški";241
"2011";"Posavska";"Priseljeni iz tujine - Ženske";161
"2011";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Moški";499
"2011";"Jugovzhodna Slovenija";"Priseljeni iz tujine - Ženske";311
"2011";"Osrednjeslovenska";"Priseljeni iz tujine - Moški";2714
"2011";"Osrednjeslovenska";"Priseljeni iz tujine - Ženske";1934
"2011";"Gorenjska";"Priseljeni iz tujine - Moški";767
"2011";"Gorenjska";"Priseljeni iz tujine - Ženske";545
"2011";"Primorsko-notranjska";"Priseljeni iz tujine - Moški";207
"2011";"Primorsko-notranjska";"Priseljeni iz tujine - Ženske";158
"2011";"Goriška";"Priseljeni iz tujine - Moški";447
"2011";"Goriška";"Priseljeni iz tujine - Ženske";328
"2011";"Obalno-kraška";"Priseljeni iz tujine - Moški";801
"2011";"Obalno-kraška";"Priseljeni iz tujine - Ženske";660
"2012";"Pomurska";"Priseljeni iz tujine - Moški";215
"2012";"Pomurska";"Priseljeni iz tujine - Ženske";137
"2012";"Podravska";"Priseljeni iz tujine - Moški";1477
"2012";"Podravska";"Priseljeni iz tujine - Ženske";695
"2012";"Koroška";"Priseljeni iz tujine - Moški";213
"2012";"Koroška";"Priseljeni iz tujine - Ženske";125
"2012";"Savinjska";"Priseljeni iz tujine - Moški";1150
"2012";"Savinjska";"Priseljeni iz tujine - Ženske";661
"2012";"Zasavska";"Priseljeni iz tujine - Moški";99
"2012";"Zasavska";"Priseljeni iz tujine - Ženske";71
"2012";"Posavska";"Priseljeni iz tujine - Moški";301
