"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"SPOL";"SELITVE";Meddržavne selitve
"1996";"EVROPA";"Moški";"Priseljeni iz tujine";5751
"1996";"EVROPA";"Ženske";"Priseljeni iz tujine";3401
"1996";"  Albanija";"Moški";"Priseljeni iz tujine";19
"1996";"  Albanija";"Ženske";"Priseljeni iz tujine";0
"1996";"  Avstrija";"Moški";"Priseljeni iz tujine";22
"1996";"  Avstrija";"Ženske";"Priseljeni iz tujine";19
"1996";"  Belgija";"Moški";"Priseljeni iz tujine";3
"1996";"  Belgija";"Ženske";"Priseljeni iz tujine";1
"1996";"  Bolgarija";"Moški";"Priseljeni iz tujine";6
"1996";"  Bolgarija";"Ženske";"Priseljeni iz tujine";9
"1996";"  Bosna in Hercegovina";"Moški";"Priseljeni iz tujine";1434
"1996";"  Bosna in Hercegovina";"Ženske";"Priseljeni iz tujine";1265
"1996";"  Èeška republika";"Moški";"Priseljeni iz tujine";2
"1996";"  Èeška republika";"Ženske";"Priseljeni iz tujine";3
"1996";"  Èrna gora";"Moški";"Priseljeni iz tujine";...
"1996";"  Èrna gora";"Ženske";"Priseljeni iz tujine";...
"1996";"  Danska";"Moški";"Priseljeni iz tujine";7
"1996";"  Danska";"Ženske";"Priseljeni iz tujine";7
"1996";"  Francija";"Moški";"Priseljeni iz tujine";20
"1996";"  Francija";"Ženske";"Priseljeni iz tujine";6
"1996";"  Hrvaška";"Moški";"Priseljeni iz tujine";933
"1996";"  Hrvaška";"Ženske";"Priseljeni iz tujine";583
"1996";"  Italija";"Moški";"Priseljeni iz tujine";78
"1996";"  Italija";"Ženske";"Priseljeni iz tujine";39
"1996";"  Kosovo";"Moški";"Priseljeni iz tujine";...
"1996";"  Kosovo";"Ženske";"Priseljeni iz tujine";...
"1996";"  Madžarska";"Moški";"Priseljeni iz tujine";3
"1996";"  Madžarska";"Ženske";"Priseljeni iz tujine";9
"1996";"  Nemèija";"Moški";"Priseljeni iz tujine";37
"1996";"  Nemèija";"Ženske";"Priseljeni iz tujine";22
"1996";"  Nizozemska";"Moški";"Priseljeni iz tujine";4
"1996";"  Nizozemska";"Ženske";"Priseljeni iz tujine";2
"1996";"  Poljska";"Moški";"Priseljeni iz tujine";82
"1996";"  Poljska";"Ženske";"Priseljeni iz tujine";5
"1996";"  Romunija";"Moški";"Priseljeni iz tujine";5
"1996";"  Romunija";"Ženske";"Priseljeni iz tujine";10
"1996";"  Ruska federacija";"Moški";"Priseljeni iz tujine";35
"1996";"  Ruska federacija";"Ženske";"Priseljeni iz tujine";140
"1996";"  Severna Makedonija";"Moški";"Priseljeni iz tujine";689
"1996";"  Severna Makedonija";"Ženske";"Priseljeni iz tujine";110
"1996";"  Slovenija";"Moški";"Priseljeni iz tujine";768
"1996";"  Slovenija";"Ženske";"Priseljeni iz tujine";732
"1996";"  Srbija";"Moški";"Priseljeni iz tujine";1538
"1996";"  Srbija";"Ženske";"Priseljeni iz tujine";364
"1996";"  Švedska";"Moški";"Priseljeni iz tujine";4
"1996";"  Švedska";"Ženske";"Priseljeni iz tujine";1
"1996";"  Švica";"Moški";"Priseljeni iz tujine";6
"1996";"  Švica";"Ženske";"Priseljeni iz tujine";4
"1996";"  Ukrajina";"Moški";"Priseljeni iz tujine";16
"1996";"  Ukrajina";"Ženske";"Priseljeni iz tujine";42
"1996";"  Združeno kraljestvo";"Moški";"Priseljeni iz tujine";16
"1996";"  Združeno kraljestvo";"Ženske";"Priseljeni iz tujine";8
"1996";"  Druge države Evrope";"Moški";"Priseljeni iz tujine";24
"1996";"  Druge države Evrope";"Ženske";"Priseljeni iz tujine";20
"1996";"AFRIKA";"Moški";"Priseljeni iz tujine";8
"1996";"AFRIKA";"Ženske";"Priseljeni iz tujine";1
"1996";"AZIJA";"Moški";"Priseljeni iz tujine";62
"1996";"AZIJA";"Ženske";"Priseljeni iz tujine";45
"1996";"JUŽNA AMERIKA";"Moški";"Priseljeni iz tujine";7
"1996";"JUŽNA AMERIKA";"Ženske";"Priseljeni iz tujine";1
"1996";"SEVERNA IN SREDNJA AMERIKA";"Moški";"Priseljeni iz tujine";27
"1996";"SEVERNA IN SREDNJA AMERIKA";"Ženske";"Priseljeni iz tujine";29
"1996";"  Kanada";"Moški";"Priseljeni iz tujine";3
"1996";"  Kanada";"Ženske";"Priseljeni iz tujine";4
"1996";"  Združene države";"Moški";"Priseljeni iz tujine";23
"1996";"  Združene države";"Ženske";"Priseljeni iz tujine";24
"1996";"  Druge države Severne in Srednje Amerike";"Moški";"Priseljeni iz tujine";1
"1996";"  Druge države Severne in Srednje Amerike";"Ženske";"Priseljeni iz tujine";1
"1996";"AVSTRALIJA IN OCEANIJA";"Moški";"Priseljeni iz tujine";2
"1996";"AVSTRALIJA IN OCEANIJA";"Ženske";"Priseljeni iz tujine";2
"1996";"Neznana država";"Moški";"Priseljeni iz tujine";122
"1996";"Neznana država";"Ženske";"Priseljeni iz tujine";37
"1997";"EVROPA";"Moški";"Priseljeni iz tujine";5162
"1997";"EVROPA";"Ženske";"Priseljeni iz tujine";2412
"1997";"  Albanija";"Moški";"Priseljeni iz tujine";9
"1997";"  Albanija";"Ženske";"Priseljeni iz tujine";3
"1997";"  Avstrija";"Moški";"Priseljeni iz tujine";19
"1997";"  Avstrija";"Ženske";"Priseljeni iz tujine";15
"1997";"  Belgija";"Moški";"Priseljeni iz tujine";2
"1997";"  Belgija";"Ženske";"Priseljeni iz tujine";0
"1997";"  Bolgarija";"Moški";"Priseljeni iz tujine";12
"1997";"  Bolgarija";"Ženske";"Priseljeni iz tujine";9
"1997";"  Bosna in Hercegovina";"Moški";"Priseljeni iz tujine";1096
"1997";"  Bosna in Hercegovina";"Ženske";"Priseljeni iz tujine";715
"1997";"  Èeška republika";"Moški";"Priseljeni iz tujine";5
"1997";"  Èeška republika";"Ženske";"Priseljeni iz tujine";12
"1997";"  Èrna gora";"Moški";"Priseljeni iz tujine";...
"1997";"  Èrna gora";"Ženske";"Priseljeni iz tujine";...
"1997";"  Danska";"Moški";"Priseljeni iz tujine";2
"1997";"  Danska";"Ženske";"Priseljeni iz tujine";4
"1997";"  Francija";"Moški";"Priseljeni iz tujine";17
"1997";"  Francija";"Ženske";"Priseljeni iz tujine";6
"1997";"  Hrvaška";"Moški";"Priseljeni iz tujine";605
"1997";"  Hrvaška";"Ženske";"Priseljeni iz tujine";415
"1997";"  Italija";"Moški";"Priseljeni iz tujine";42
"1997";"  Italija";"Ženske";"Priseljeni iz tujine";11
"1997";"  Kosovo";"Moški";"Priseljeni iz tujine";...
"1997";"  Kosovo";"Ženske";"Priseljeni iz tujine";...
"1997";"  Madžarska";"Moški";"Priseljeni iz tujine";1
"1997";"  Madžarska";"Ženske";"Priseljeni iz tujine";8
"1997";"  Nemèija";"Moški";"Priseljeni iz tujine";34
"1997";"  Nemèija";"Ženske";"Priseljeni iz tujine";20
"1997";"  Nizozemska";"Moški";"Priseljeni iz tujine";3
"1997";"  Nizozemska";"Ženske";"Priseljeni iz tujine";2
"1997";"  Poljska";"Moški";"Priseljeni iz tujine";0
"1997";"  Poljska";"Ženske";"Priseljeni iz tujine";3
"1997";"  Romunija";"Moški";"Priseljeni iz tujine";6
"1997";"  Romunija";"Ženske";"Priseljeni iz tujine";11
"1997";"  Ruska federacija";"Moški";"Priseljeni iz tujine";21
"1997";"  Ruska federacija";"Ženske";"Priseljeni iz tujine";71
"1997";"  Severna Makedonija";"Moški";"Priseljeni iz tujine";664
"1997";"  Severna Makedonija";"Ženske";"Priseljeni iz tujine";83
"1997";"  Slovenija";"Moški";"Priseljeni iz tujine";534
"1997";"  Slovenija";"Ženske";"Priseljeni iz tujine";559
"1997";"  Srbija";"Moški";"Priseljeni iz tujine";1979
"1997";"  Srbija";"Ženske";"Priseljeni iz tujine";293
"1997";"  Švedska";"Moški";"Priseljeni iz tujine";7
"1997";"  Švedska";"Ženske";"Priseljeni iz tujine";3
"1997";"  Švica";"Moški";"Priseljeni iz tujine";3
"1997";"  Švica";"Ženske";"Priseljeni iz tujine";4
"1997";"  Ukrajina";"Moški";"Priseljeni iz tujine";37
"1997";"  Ukrajina";"Ženske";"Priseljeni iz tujine";110
"1997";"  Združeno kraljestvo";"Moški";"Priseljeni iz tujine";8
"1997";"  Združeno kraljestvo";"Ženske";"Priseljeni iz tujine";7
"1997";"  Druge države Evrope";"Moški";"Priseljeni iz tujine";56
"1997";"  Druge države Evrope";"Ženske";"Priseljeni iz tujine";48
"1997";"AFRIKA";"Moški";"Priseljeni iz tujine";12
"1997";"AFRIKA";"Ženske";"Priseljeni iz tujine";1
"1997";"AZIJA";"Moški";"Priseljeni iz tujine";71
"1997";"AZIJA";"Ženske";"Priseljeni iz tujine";39
"1997";"JUŽNA AMERIKA";"Moški";"Priseljeni iz tujine";4
"1997";"JUŽNA AMERIKA";"Ženske";"Priseljeni iz tujine";6
"1997";"SEVERNA IN SREDNJA AMERIKA";"Moški";"Priseljeni iz tujine";21
"1997";"SEVERNA IN SREDNJA AMERIKA";"Ženske";"Priseljeni iz tujine";18
"1997";"  Kanada";"Moški";"Priseljeni iz tujine";1
"1997";"  Kanada";"Ženske";"Priseljeni iz tujine";2
"1997";"  Združene države";"Moški";"Priseljeni iz tujine";20
"1997";"  Združene države";"Ženske";"Priseljeni iz tujine";15
"1997";"  Druge države Severne in Srednje Amerike";"Moški";"Priseljeni iz tujine";0
"1997";"  Druge države Severne in Srednje Amerike";"Ženske";"Priseljeni iz tujine";1
"1997";"AVSTRALIJA IN OCEANIJA";"Moški";"Priseljeni iz tujine";2
"1997";"AVSTRALIJA IN OCEANIJA";"Ženske";"Priseljeni iz tujine";2
"1997";"Neznana država";"Moški";"Priseljeni iz tujine";116
"1997";"Neznana država";"Ženske";"Priseljeni iz tujine";23
"1998";"EVROPA";"Moški";"Priseljeni iz tujine";2689
"1998";"EVROPA";"Ženske";"Priseljeni iz tujine";1695
"1998";"  Albanija";"Moški";"Priseljeni iz tujine";3
"1998";"  Albanija";"Ženske";"Priseljeni iz tujine";0
"1998";"  Avstrija";"Moški";"Priseljeni iz tujine";8
"1998";"  Avstrija";"Ženske";"Priseljeni iz tujine";5
"1998";"  Belgija";"Moški";"Priseljeni iz tujine";0
"1998";"  Belgija";"Ženske";"Priseljeni iz tujine";0
"1998";"  Bolgarija";"Moški";"Priseljeni iz tujine";40
"1998";"  Bolgarija";"Ženske";"Priseljeni iz tujine";5
"1998";"  Bosna in Hercegovina";"Moški";"Priseljeni iz tujine";738
"1998";"  Bosna in Hercegovina";"Ženske";"Priseljeni iz tujine";345
"1998";"  Èeška republika";"Moški";"Priseljeni iz tujine";5
"1998";"  Èeška republika";"Ženske";"Priseljeni iz tujine";8
"1998";"  Èrna gora";"Moški";"Priseljeni iz tujine";...
"1998";"  Èrna gora";"Ženske";"Priseljeni iz tujine";...
"1998";"  Danska";"Moški";"Priseljeni iz tujine";3
"1998";"  Danska";"Ženske";"Priseljeni iz tujine";2
"1998";"  Francija";"Moški";"Priseljeni iz tujine";19
"1998";"  Francija";"Ženske";"Priseljeni iz tujine";13
"1998";"  Hrvaška";"Moški";"Priseljeni iz tujine";312
"1998";"  Hrvaška";"Ženske";"Priseljeni iz tujine";236
"1998";"  Italija";"Moški";"Priseljeni iz tujine";48
"1998";"  Italija";"Ženske";"Priseljeni iz tujine";15
"1998";"  Kosovo";"Moški";"Priseljeni iz tujine";...
"1998";"  Kosovo";"Ženske";"Priseljeni iz tujine";...
"1998";"  Madžarska";"Moški";"Priseljeni iz tujine";11
"1998";"  Madžarska";"Ženske";"Priseljeni iz tujine";7
"1998";"  Nemèija";"Moški";"Priseljeni iz tujine";23
"1998";"  Nemèija";"Ženske";"Priseljeni iz tujine";19
"1998";"  Nizozemska";"Moški";"Priseljeni iz tujine";3
"1998";"  Nizozemska";"Ženske";"Priseljeni iz tujine";2
"1998";"  Poljska";"Moški";"Priseljeni iz tujine";0
"1998";"  Poljska";"Ženske";"Priseljeni iz tujine";3
"1998";"  Romunija";"Moški";"Priseljeni iz tujine";13
"1998";"  Romunija";"Ženske";"Priseljeni iz tujine";24
"1998";"  Ruska federacija";"Moški";"Priseljeni iz tujine";21
"1998";"  Ruska federacija";"Ženske";"Priseljeni iz tujine";36
"1998";"  Severna Makedonija";"Moški";"Priseljeni iz tujine";426
"1998";"  Severna Makedonija";"Ženske";"Priseljeni iz tujine";111
"1998";"  Slovenija";"Moški";"Priseljeni iz tujine";446
"1998";"  Slovenija";"Ženske";"Priseljeni iz tujine";411
"1998";"  Srbija";"Moški";"Priseljeni iz tujine";420
"1998";"  Srbija";"Ženske";"Priseljeni iz tujine";260
"1998";"  Švedska";"Moški";"Priseljeni iz tujine";9
"1998";"  Švedska";"Ženske";"Priseljeni iz tujine";4
"1998";"  Švica";"Moški";"Priseljeni iz tujine";5
"1998";"  Švica";"Ženske";"Priseljeni iz tujine";3
"1998";"  Ukrajina";"Moški";"Priseljeni iz tujine";30
"1998";"  Ukrajina";"Ženske";"Priseljeni iz tujine";90
"1998";"  Združeno kraljestvo";"Moški";"Priseljeni iz tujine";11
"1998";"  Združeno kraljestvo";"Ženske";"Priseljeni iz tujine";5
"1998";"  Druge države Evrope";"Moški";"Priseljeni iz tujine";95
"1998";"  Druge države Evrope";"Ženske";"Priseljeni iz tujine";91
"1998";"AFRIKA";"Moški";"Priseljeni iz tujine";3
"1998";"AFRIKA";"Ženske";"Priseljeni iz tujine";2
"1998";"AZIJA";"Moški";"Priseljeni iz tujine";57
"1998";"AZIJA";"Ženske";"Priseljeni iz tujine";52
"1998";"JUŽNA AMERIKA";"Moški";"Priseljeni iz tujine";8
