"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"STATISTIÈNA REGIJA";"STAROST";"LETO";Povpreène meseène bruto plaèe (EUR)
"Pomurska";"15-64 let";"2010";1342
"Pomurska";"15-64 let";"2011";1396
"Pomurska";"15-64 let";"2012";1402
"Pomurska";"15-64 let";"2013";1389
"Pomurska";"15-64 let";"2014";1452
"Pomurska";"15-64 let";"2015";1457
"Pomurska";"15-64 let";"2016";1480
"Pomurska";"15-64 let";"2017";1517
"Pomurska";"15-64 let";"2018";1569
"Pomurska";"15-24 let";"2010";928
"Pomurska";"15-24 let";"2011";983
"Pomurska";"15-24 let";"2012";981
"Pomurska";"15-24 let";"2013";986
"Pomurska";"15-24 let";"2014";997
"Pomurska";"15-24 let";"2015";1022
"Pomurska";"15-24 let";"2016";1033
"Pomurska";"15-24 let";"2017";1078
"Pomurska";"15-24 let";"2018";1144
"Pomurska";"25-34 let";"2010";1198
"Pomurska";"25-34 let";"2011";1238
"Pomurska";"25-34 let";"2012";1249
"Pomurska";"25-34 let";"2013";1231
"Pomurska";"25-34 let";"2014";1251
"Pomurska";"25-34 let";"2015";1263
"Pomurska";"25-34 let";"2016";1287
"Pomurska";"25-34 let";"2017";1316
"Pomurska";"25-34 let";"2018";1371
"Pomurska";"35-44 let";"2010";1337
"Pomurska";"35-44 let";"2011";1396
"Pomurska";"35-44 let";"2012";1405
"Pomurska";"35-44 let";"2013";1391
"Pomurska";"35-44 let";"2014";1456
"Pomurska";"35-44 let";"2015";1465
"Pomurska";"35-44 let";"2016";1490
"Pomurska";"35-44 let";"2017";1536
"Pomurska";"35-44 let";"2018";1598
"Pomurska";"45-54 let";"2010";1432
"Pomurska";"45-54 let";"2011";1476
"Pomurska";"45-54 let";"2012";1467
"Pomurska";"45-54 let";"2013";1442
"Pomurska";"45-54 let";"2014";1527
"Pomurska";"45-54 let";"2015";1520
"Pomurska";"45-54 let";"2016";1522
"Pomurska";"45-54 let";"2017";1547
"Pomurska";"45-54 let";"2018";1596
"Pomurska";"55-64 let";"2010";1696
"Pomurska";"55-64 let";"2011";1704
"Pomurska";"55-64 let";"2012";1693
"Pomurska";"55-64 let";"2013";1647
"Pomurska";"55-64 let";"2014";1697
"Pomurska";"55-64 let";"2015";1674
"Pomurska";"55-64 let";"2016";1711
"Pomurska";"55-64 let";"2017";1732
"Pomurska";"55-64 let";"2018";1756
"Pomurska";"65 let ali veè";"2010";3218
"Pomurska";"65 let ali veè";"2011";3567
"Pomurska";"65 let ali veè";"2012";2888
"Pomurska";"65 let ali veè";"2013";3687
"Pomurska";"65 let ali veè";"2014";3483
"Pomurska";"65 let ali veè";"2015";3739
"Pomurska";"65 let ali veè";"2016";3410
"Pomurska";"65 let ali veè";"2017";3462
"Pomurska";"65 let ali veè";"2018";3540
"Podravska";"15-64 let";"2010";1446
"Podravska";"15-64 let";"2011";1490
"Podravska";"15-64 let";"2012";1512
"Podravska";"15-64 let";"2013";1513
"Podravska";"15-64 let";"2014";1545
"Podravska";"15-64 let";"2015";1553
"Podravska";"15-64 let";"2016";1583
"Podravska";"15-64 let";"2017";1631
"Podravska";"15-64 let";"2018";1686
"Podravska";"15-24 let";"2010";944
"Podravska";"15-24 let";"2011";984
"Podravska";"15-24 let";"2012";997
"Podravska";"15-24 let";"2013";1008
"Podravska";"15-24 let";"2014";1033
"Podravska";"15-24 let";"2015";1051
"Podravska";"15-24 let";"2016";1081
"Podravska";"15-24 let";"2017";1116
