"Prebivalstvo po starosti in spolu, statistiène regije, Slovenija, polletno"

"POLLETJE";"STATISTIÈNA REGIJA";"SPOL";"STAROST";Prebivalstvo
"2011H1";"Pomurska";"Spol - SKUPAJ";"Starost - SKUPAJ";119145
"2011H1";"Podravska";"Spol - SKUPAJ";"Starost - SKUPAJ";323119
"2011H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";72494
"2011H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";259726
"2011H1";"Zasavska";"Spol - SKUPAJ";"Starost - SKUPAJ";44222
"2011H1";"Posavska";"Spol - SKUPAJ";"Starost - SKUPAJ";70167
"2011H1";"Jugovzhodna Slovenija";"Spol - SKUPAJ";"Starost - SKUPAJ";142483
"2011H1";"Osrednjeslovenska";"Spol - SKUPAJ";"Starost - SKUPAJ";533213
"2011H1";"Gorenjska";"Spol - SKUPAJ";"Starost - SKUPAJ";203427
"2011H1";"Primorsko-notranjska";"Spol - SKUPAJ";"Starost - SKUPAJ";52287
"2011H1";"Goriška";"Spol - SKUPAJ";"Starost - SKUPAJ";119146
"2011H1";"Obalno-kraška";"Spol - SKUPAJ";"Starost - SKUPAJ";110760
"2012H1";"Pomurska";"Spol - SKUPAJ";"Starost - SKUPAJ";118988
"2012H1";"Podravska";"Spol - SKUPAJ";"Starost - SKUPAJ";323534
"2012H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";72364
"2012H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";260253
"2012H1";"Zasavska";"Spol - SKUPAJ";"Starost - SKUPAJ";43926
"2012H1";"Posavska";"Spol - SKUPAJ";"Starost - SKUPAJ";70164
"2012H1";"Jugovzhodna Slovenija";"Spol - SKUPAJ";"Starost - SKUPAJ";142680
"2012H1";"Osrednjeslovenska";"Spol - SKUPAJ";"Starost - SKUPAJ";536484
"2012H1";"Gorenjska";"Spol - SKUPAJ";"Starost - SKUPAJ";204057
"2012H1";"Primorsko-notranjska";"Spol - SKUPAJ";"Starost - SKUPAJ";52387
"2012H1";"Goriška";"Spol - SKUPAJ";"Starost - SKUPAJ";119236
"2012H1";"Obalno-kraška";"Spol - SKUPAJ";"Starost - SKUPAJ";111423
"2013H1";"Pomurska";"Spol - SKUPAJ";"Starost - SKUPAJ";118022
"2013H1";"Podravska";"Spol - SKUPAJ";"Starost - SKUPAJ";323238
"2013H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";72100
"2013H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";260217
