"Povpreène meseène bruto plaèe (EUR) po dejavnosti (SKD 2008), doseženi izobrazbi in spolu, Slovenija, letno"

"SKD DEJAVNOST";"DOSEŽENA IZOBRAZBA";"LETO";"SPOL";Povpreène meseène bruto plaèe (EUR, SKD 2008)
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Izobrazba - SKUPAJ";"2010";"Moški";1303
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Izobrazba - SKUPAJ";"2010";"Ženske";1175
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Izobrazba - SKUPAJ";"2018";"Moški";1440
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";"Izobrazba - SKUPAJ";"2018";"Ženske";1365
"B RUDARSTVO";"Izobrazba - SKUPAJ";"2010";"Moški";1966
"B RUDARSTVO";"Izobrazba - SKUPAJ";"2010";"Ženske";1717
"B RUDARSTVO";"Izobrazba - SKUPAJ";"2018";"Moški";2410
"B RUDARSTVO";"Izobrazba - SKUPAJ";"2018";"Ženske";1992
"C PREDELOVALNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";1419
"C PREDELOVALNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";1206
"C PREDELOVALNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";1791
"C PREDELOVALNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";1528
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Izobrazba - SKUPAJ";"2010";"Moški";2141
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Izobrazba - SKUPAJ";"2010";"Ženske";2022
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Izobrazba - SKUPAJ";"2018";"Moški";2561
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";"Izobrazba - SKUPAJ";"2018";"Ženske";2380
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Izobrazba - SKUPAJ";"2010";"Moški";1434
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Izobrazba - SKUPAJ";"2010";"Ženske";1648
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Izobrazba - SKUPAJ";"2018";"Moški";1625
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Izobrazba - SKUPAJ";"2018";"Ženske";1832
"F GRADBENIŠTVO";"Izobrazba - SKUPAJ";"2010";"Moški";1142
"F GRADBENIŠTVO";"Izobrazba - SKUPAJ";"2010";"Ženske";1410
"F GRADBENIŠTVO";"Izobrazba - SKUPAJ";"2018";"Moški";1363
"F GRADBENIŠTVO";"Izobrazba - SKUPAJ";"2018";"Ženske";1522
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Izobrazba - SKUPAJ";"2010";"Moški";1486
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Izobrazba - SKUPAJ";"2010";"Ženske";1264
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Izobrazba - SKUPAJ";"2018";"Moški";1774
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Izobrazba - SKUPAJ";"2018";"Ženske";1526
"H PROMET IN SKLADIŠÈENJE";"Izobrazba - SKUPAJ";"2010";"Moški";1368
"H PROMET IN SKLADIŠÈENJE";"Izobrazba - SKUPAJ";"2010";"Ženske";1516
"H PROMET IN SKLADIŠÈENJE";"Izobrazba - SKUPAJ";"2018";"Moški";1554
"H PROMET IN SKLADIŠÈENJE";"Izobrazba - SKUPAJ";"2018";"Ženske";1750
"I GOSTINSTVO";"Izobrazba - SKUPAJ";"2010";"Moški";1149
"I GOSTINSTVO";"Izobrazba - SKUPAJ";"2010";"Ženske";1032
"I GOSTINSTVO";"Izobrazba - SKUPAJ";"2018";"Moški";1330
"I GOSTINSTVO";"Izobrazba - SKUPAJ";"2018";"Ženske";1221
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";2264
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";1937
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";2437
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";2097
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";2706
