STATISTIÈNA REGIJA;LETO;Število diplomantov
SLOVENIJA;2009;18103
SLOVENIJA;2010;19694
SLOVENIJA;2011;20461
SLOVENIJA;2012;21043
SLOVENIJA;2013;19175
SLOVENIJA;2014;18824
SLOVENIJA;2015;18631
SLOVENIJA;2016;30967
SLOVENIJA;2017;16458
SLOVENIJA;2018;16680
Pomurska;2009;847
Pomurska;2010;981
Pomurska;2011;1141
Pomurska;2012;1057
Pomurska;2013;913
Pomurska;2014;872
Pomurska;2015;1021
Pomurska;2016;1495
Pomurska;2017;804
Pomurska;2018;859
Podravska;2009;2510
Podravska;2010;2898
Podravska;2011;2944
Podravska;2012;3244
Podravska;2013;2794
Podravska;2014;2563
Podravska;2015;2617
Podravska;2016;4367
Podravska;2017;2272
Podravska;2018;2271
Koroška;2009;644
Koroška;2010;721
Koroška;2011;781
Koroška;2012;824
Koroška;2013;732
Koroška;2014;675
Koroška;2015;682
Koroška;2016;1033
Koroška;2017;559
Koroška;2018;543
Savinjska;2009;2394
Savinjska;2010;2676
Savinjska;2011;2791
Savinjska;2012;2759
Savinjska;2013;2448
Savinjska;2014;2319
Savinjska;2015;2328
Savinjska;2016;3799
Savinjska;2017;2095
Savinjska;2018;2102
Zasavska;2009;369
Zasavska;2010;428
Zasavska;2011;406
Zasavska;2012;412
Zasavska;2013;376
Zasavska;2014;513
Zasavska;2015;478
Zasavska;2016;769
Zasavska;2017;413
Zasavska;2018;428
Spodnjeposavska;2009;570
Spodnjeposavska;2010;612
Spodnjeposavska;2011;690
Spodnjeposavska;2012;718
Spodnjeposavska;2013;675
Spodnjeposavska;2014;693
Spodnjeposavska;2015;651
Spodnjeposavska;2016;989
Spodnjeposavska;2017;582
Spodnjeposavska;2018;575
Jugovzhodna Slovenija;2009;1291
Jugovzhodna Slovenija;2010;1378
Jugovzhodna Slovenija;2011;1420
Jugovzhodna Slovenija;2012;1385
Jugovzhodna Slovenija;2013;1443
Jugovzhodna Slovenija;2014;1396
Jugovzhodna Slovenija;2015;1339
Jugovzhodna Slovenija;2016;2024
Jugovzhodna Slovenija;2017;1161
Jugovzhodna Slovenija;2018;1159
Osrednjeslovenska;2009;4907
Osrednjeslovenska;2010;5265
Osrednjeslovenska;2011;5154
Osrednjeslovenska;2012;5518
Osrednjeslovenska;2013;5100
Osrednjeslovenska;2014;5086
Osrednjeslovenska;2015;4940
Osrednjeslovenska;2016;8918
Osrednjeslovenska;2017;4363
Osrednjeslovenska;2018;4438
Gorenjska;2009;1857
Gorenjska;2010;1863
Gorenjska;2011;2095
Gorenjska;2012;2073
Gorenjska;2013;1866
Gorenjska;2014;1840
Gorenjska;2015;1764
Gorenjska;2016;2978
Gorenjska;2017;1520
Gorenjska;2018;1574
Notranjsko-kraška;2009;467
Notranjsko-kraška;2010;532
Notranjsko-kraška;2011;508
Notranjsko-kraška;2012;545
Notranjsko-kraška;2013;439
Notranjsko-kraška;2014;445
Notranjsko-kraška;2015;471
Notranjsko-kraška;2016;739
Notranjsko-kraška;2017;405
Notranjsko-kraška;2018;410
Goriška;2009;1110
Goriška;2010;1230
Goriška;2011;1264
Goriška;2012;1203
Goriška;2013;1178
Goriška;2014;1155
Goriška;2015;1131
Goriška;2016;1757
Goriška;2017;1007
Goriška;2018;1029
Obalno-kraška;2009;909
Obalno-kraška;2010;866
Obalno-kraška;2011;929
Obalno-kraška;2012;938
Obalno-kraška;2013;858
Obalno-kraška;2014;868
Obalno-kraška;2015;701
Obalno-kraška;2016;1403
Obalno-kraška;2017;720
Obalno-kraška;2018;732
Stalno bivališèe neznano ali v tujini;2009;228
Stalno bivališèe neznano ali v tujini;2010;244
Stalno bivališèe neznano ali v tujini;2011;338
Stalno bivališèe neznano ali v tujini;2012;367
Stalno bivališèe neznano ali v tujini;2013;353
Stalno bivališèe neznano ali v tujini;2014;399
Stalno bivališèe neznano ali v tujini;2015;508
Stalno bivališèe neznano ali v tujini;2016;696
Stalno bivališèe neznano ali v tujini;2017;557
Stalno bivališèe neznano ali v tujini;2018;560
