"Razpoložljivi dohodek gospodinjstev po starosti in spolu (EUR), Slovenija, letno"

"MERITVE";"STAROSTNE SKUPINE";"SPOL";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2008";"Dohodek po socialnih transferjih";7532
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2009";"Dohodek po socialnih transferjih";8199
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2010";"Dohodek po socialnih transferjih";8317
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2011";"Dohodek po socialnih transferjih";8482
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2012";"Dohodek po socialnih transferjih";8567
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2013";"Dohodek po socialnih transferjih";8413
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2014";"Dohodek po socialnih transferjih";8519
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2015";"Dohodek po socialnih transferjih";8746
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2016";"Dohodek po socialnih transferjih";8732
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2017";"Dohodek po socialnih transferjih";8990
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2018";"Dohodek po socialnih transferjih";9333
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";"2019";"Dohodek po socialnih transferjih";10093
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2008";"Dohodek po socialnih transferjih";7585
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2009";"Dohodek po socialnih transferjih";8268
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2010";"Dohodek po socialnih transferjih";8371
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2011";"Dohodek po socialnih transferjih";8538
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2012";"Dohodek po socialnih transferjih";8605
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2013";"Dohodek po socialnih transferjih";8485
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2014";"Dohodek po socialnih transferjih";8615
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2015";"Dohodek po socialnih transferjih";8898
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2016";"Dohodek po socialnih transferjih";8877
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2017";"Dohodek po socialnih transferjih";9131
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2018";"Dohodek po socialnih transferjih";9438
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Moški";"2019";"Dohodek po socialnih transferjih";10225
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2008";"Dohodek po socialnih transferjih";7482
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2009";"Dohodek po socialnih transferjih";8131
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2010";"Dohodek po socialnih transferjih";8264
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2011";"Dohodek po socialnih transferjih";8426
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2012";"Dohodek po socialnih transferjih";8529
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2013";"Dohodek po socialnih transferjih";8342
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2014";"Dohodek po socialnih transferjih";8424
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2015";"Dohodek po socialnih transferjih";8595
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2016";"Dohodek po socialnih transferjih";8591
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2017";"Dohodek po socialnih transferjih";8851
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2018";"Dohodek po socialnih transferjih";9228
"Povpreèni dohodek na èlana gospodinjstva";"Starostne skupine - SKUPAJ";"Ženske";"2019";"Dohodek po socialnih transferjih";9961
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Spol - SKUPAJ";"2008";"Dohodek po socialnih transferjih";6326
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Spol - SKUPAJ";"2009";"Dohodek po socialnih transferjih";6743
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Spol - SKUPAJ";"2010";"Dohodek po socialnih transferjih";6760
"Povpreèni dohodek na èlana gospodinjstva";"Starost 0-17";"Spol - SKUPAJ";"2011";"Dohodek po socialnih transferjih";6846
