"";"Starost";"Spol";"Leto";"Dohodek"
"1";"0-17";"Moški";2008;6432
"2";"0-17";"Moški";2009;6795
"3";"0-17";"Moški";2010;6743
"4";"0-17";"Moški";2011;6835
"5";"0-17";"Moški";2012;6971
"6";"0-17";"Moški";2013;6912
"7";"0-17";"Moški";2014;6870
"8";"0-17";"Moški";2015;7202
"9";"0-17";"Moški";2016;7348
"10";"0-17";"Moški";2017;7487
"11";"0-17";"Moški";2018;7770
"12";"0-17";"Moški";2019;8414
"13";"0-17";"Ženske";2008;6214
"14";"0-17";"Ženske";2009;6689
"15";"0-17";"Ženske";2010;6779
"16";"0-17";"Ženske";2011;6858
"17";"0-17";"Ženske";2012;7007
"18";"0-17";"Ženske";2013;6965
"19";"0-17";"Ženske";2014;7064
"20";"0-17";"Ženske";2015;7225
"21";"0-17";"Ženske";2016;7241
"22";"0-17";"Ženske";2017;7315
"23";"0-17";"Ženske";2018;7675
"24";"0-17";"Ženske";2019;8245
"25";"65+";"Moški";2008;8277
"26";"65+";"Moški";2009;9025
"27";"65+";"Moški";2010;9590
"28";"65+";"Moški";2011;9811
"29";"65+";"Moški";2012;9921
"30";"65+";"Moški";2013;9669
"31";"65+";"Moški";2014;10092
"32";"65+";"Moški";2015;10552
"33";"65+";"Moški";2016;10317
"34";"65+";"Moški";2017;10311
"35";"65+";"Moški";2018;10561
"36";"65+";"Moški";2019;10907
"37";"65+";"Ženske";2008;7537
"38";"65+";"Ženske";2009;8280
"39";"65+";"Ženske";2010;8588
"40";"65+";"Ženske";2011;8808
"41";"65+";"Ženske";2012;9183
"42";"65+";"Ženske";2013;8880
"43";"65+";"Ženske";2014;9281
"44";"65+";"Ženske";2015;9463
"45";"65+";"Ženske";2016;9376
"46";"65+";"Ženske";2017;9710
"47";"65+";"Ženske";2018;9857
"48";"65+";"Ženske";2019;10267
"49";"18-24";"Moški";2008;7471
"50";"18-24";"Moški";2009;8230
"51";"18-24";"Moški";2010;8003
"52";"18-24";"Moški";2011;8141
"53";"18-24";"Moški";2012;8144
"54";"18-24";"Moški";2013;7875
"55";"18-24";"Moški";2014;7913
"56";"18-24";"Moški";2015;8543
"57";"18-24";"Moški";2016;8504
"58";"18-24";"Moški";2017;8867
"59";"18-24";"Moški";2018;9026
"60";"18-24";"Moški";2019;10194
"61";"18-24";"Ženske";2008;7121
"62";"18-24";"Ženske";2009;7954
"63";"18-24";"Ženske";2010;7891
"64";"18-24";"Ženske";2011;7979
"65";"18-24";"Ženske";2012;7958
"66";"18-24";"Ženske";2013;7471
"67";"18-24";"Ženske";2014;7426
"68";"18-24";"Ženske";2015;7720
"69";"18-24";"Ženske";2016;7733
"70";"18-24";"Ženske";2017;8104
"71";"18-24";"Ženske";2018;8617
"72";"18-24";"Ženske";2019;9601
"73";"25-49";"Moški";2008;7633
"74";"25-49";"Moški";2009;8305
"75";"25-49";"Moški";2010;8392
"76";"25-49";"Moški";2011;8560
"77";"25-49";"Moški";2012;8546
"78";"25-49";"Moški";2013;8516
"79";"25-49";"Moški";2014;8590
"80";"25-49";"Moški";2015;8839
"81";"25-49";"Moški";2016;8775
"82";"25-49";"Moški";2017;9093
"83";"25-49";"Moški";2018;9398
"84";"25-49";"Moški";2019;10258
"85";"25-49";"Ženske";2008;7569
"86";"25-49";"Ženske";2009;8150
"87";"25-49";"Ženske";2010;8288
"88";"25-49";"Ženske";2011;8429
"89";"25-49";"Ženske";2012;8445
"90";"25-49";"Ženske";2013;8258
"91";"25-49";"Ženske";2014;8252
"92";"25-49";"Ženske";2015;8325
"93";"25-49";"Ženske";2016;8366
"94";"25-49";"Ženske";2017;8577
"95";"25-49";"Ženske";2018;9084
"96";"25-49";"Ženske";2019;9928
"97";"50-64";"Moški";2008;8255
"98";"50-64";"Moški";2009;9154
"99";"50-64";"Moški";2010;9320
"100";"50-64";"Moški";2011;9523
"101";"50-64";"Moški";2012;9650
"102";"50-64";"Moški";2013;9402
"103";"50-64";"Moški";2014;9607
"104";"50-64";"Moški";2015;9616
"105";"50-64";"Moški";2016;9650
"106";"50-64";"Moški";2017;9956
"107";"50-64";"Moški";2018;10377
"108";"50-64";"Moški";2019;11342
"109";"50-64";"Ženske";2008;8595
"110";"50-64";"Ženske";2009;9334
"111";"50-64";"Ženske";2010;9439
"112";"50-64";"Ženske";2011;9647
"113";"50-64";"Ženske";2012;9637
"114";"50-64";"Ženske";2013;9537
"115";"50-64";"Ženske";2014;9491
"116";"50-64";"Ženske";2015;9752
"117";"50-64";"Ženske";2016;9679
"118";"50-64";"Ženske";2017;10058
"119";"50-64";"Ženske";2018;10394
"120";"50-64";"Ženske";2019;11300
