"";"Starost";"Spol";"Leto";"Dohodek"
"1";"Starostne skupine - SKUPAJ";"Moški";2008;7585
"2";"Starostne skupine - SKUPAJ";"Moški";2009;8268
"3";"Starostne skupine - SKUPAJ";"Moški";2010;8371
"4";"Starostne skupine - SKUPAJ";"Moški";2011;8538
"5";"Starostne skupine - SKUPAJ";"Moški";2012;8605
"6";"Starostne skupine - SKUPAJ";"Moški";2013;8485
"7";"Starostne skupine - SKUPAJ";"Moški";2014;8615
"8";"Starostne skupine - SKUPAJ";"Moški";2015;8898
"9";"Starostne skupine - SKUPAJ";"Moški";2016;8877
"10";"Starostne skupine - SKUPAJ";"Moški";2017;9131
"11";"Starostne skupine - SKUPAJ";"Moški";2018;9438
"12";"Starostne skupine - SKUPAJ";"Moški";2019;10225
"13";"Starostne skupine - SKUPAJ";"Ženske";2008;7482
"14";"Starostne skupine - SKUPAJ";"Ženske";2009;8131
"15";"Starostne skupine - SKUPAJ";"Ženske";2010;8264
"16";"Starostne skupine - SKUPAJ";"Ženske";2011;8426
"17";"Starostne skupine - SKUPAJ";"Ženske";2012;8529
"18";"Starostne skupine - SKUPAJ";"Ženske";2013;8342
"19";"Starostne skupine - SKUPAJ";"Ženske";2014;8424
"20";"Starostne skupine - SKUPAJ";"Ženske";2015;8595
"21";"Starostne skupine - SKUPAJ";"Ženske";2016;8591
"22";"Starostne skupine - SKUPAJ";"Ženske";2017;8851
"23";"Starostne skupine - SKUPAJ";"Ženske";2018;9228
"24";"Starostne skupine - SKUPAJ";"Ženske";2019;9961
"25";"Starost 0-17";"Moški";2008;6432
"26";"Starost 0-17";"Moški";2009;6795
"27";"Starost 0-17";"Moški";2010;6743
"28";"Starost 0-17";"Moški";2011;6835
"29";"Starost 0-17";"Moški";2012;6971
"30";"Starost 0-17";"Moški";2013;6912
"31";"Starost 0-17";"Moški";2014;6870
"32";"Starost 0-17";"Moški";2015;7202
"33";"Starost 0-17";"Moški";2016;7348
"34";"Starost 0-17";"Moški";2017;7487
"35";"Starost 0-17";"Moški";2018;7770
"36";"Starost 0-17";"Moški";2019;8414
"37";"Starost 0-17";"Ženske";2008;6214
"38";"Starost 0-17";"Ženske";2009;6689
"39";"Starost 0-17";"Ženske";2010;6779
"40";"Starost 0-17";"Ženske";2011;6858
"41";"Starost 0-17";"Ženske";2012;7007
"42";"Starost 0-17";"Ženske";2013;6965
"43";"Starost 0-17";"Ženske";2014;7064
"44";"Starost 0-17";"Ženske";2015;7225
"45";"Starost 0-17";"Ženske";2016;7241
"46";"Starost 0-17";"Ženske";2017;7315
"47";"Starost 0-17";"Ženske";2018;7675
"48";"Starost 0-17";"Ženske";2019;8245
"49";"Starost 65+";"Moški";2008;8277
"50";"Starost 65+";"Moški";2009;9025
"51";"Starost 65+";"Moški";2010;9590
"52";"Starost 65+";"Moški";2011;9811
"53";"Starost 65+";"Moški";2012;9921
"54";"Starost 65+";"Moški";2013;9669
"55";"Starost 65+";"Moški";2014;10092
"56";"Starost 65+";"Moški";2015;10552
"57";"Starost 65+";"Moški";2016;10317
"58";"Starost 65+";"Moški";2017;10311
"59";"Starost 65+";"Moški";2018;10561
"60";"Starost 65+";"Moški";2019;10907
"61";"Starost 65+";"Ženske";2008;7537
"62";"Starost 65+";"Ženske";2009;8280
"63";"Starost 65+";"Ženske";2010;8588
"64";"Starost 65+";"Ženske";2011;8808
"65";"Starost 65+";"Ženske";2012;9183
