"Razpoložljivi dohodek gospodinjstev (EUR), statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2008";"Dohodek po socialnih transferjih";6366
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2009";"Dohodek po socialnih transferjih";6836
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2010";"Dohodek po socialnih transferjih";7099
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2011";"Dohodek po socialnih transferjih";7071
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2012";"Dohodek po socialnih transferjih";7251
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2013";"Dohodek po socialnih transferjih";7447
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2014";"Dohodek po socialnih transferjih";7693
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2015";"Dohodek po socialnih transferjih";8050
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2016";"Dohodek po socialnih transferjih";8235
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2017";"Dohodek po socialnih transferjih";8440
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2018";"Dohodek po socialnih transferjih";8571
"Povpreèni dohodek na èlana gospodinjstva";"Pomurska";"2019";"Dohodek po socialnih transferjih";9541
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2008";"Dohodek po socialnih transferjih";6897
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2009";"Dohodek po socialnih transferjih";7799
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2010";"Dohodek po socialnih transferjih";7852
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2011";"Dohodek po socialnih transferjih";8043
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2012";"Dohodek po socialnih transferjih";8140
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2013";"Dohodek po socialnih transferjih";8094
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2014";"Dohodek po socialnih transferjih";8196
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2015";"Dohodek po socialnih transferjih";8422
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2016";"Dohodek po socialnih transferjih";8291
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2017";"Dohodek po socialnih transferjih";8459
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2018";"Dohodek po socialnih transferjih";8882
"Povpreèni dohodek na èlana gospodinjstva";"Podravska";"2019";"Dohodek po socialnih transferjih";9734
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2008";"Dohodek po socialnih transferjih";6900
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2009";"Dohodek po socialnih transferjih";7343
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2010";"Dohodek po socialnih transferjih";7194
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2011";"Dohodek po socialnih transferjih";7727
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2012";"Dohodek po socialnih transferjih";8192
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2013";"Dohodek po socialnih transferjih";7968
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2014";"Dohodek po socialnih transferjih";7995
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2015";"Dohodek po socialnih transferjih";8217
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2016";"Dohodek po socialnih transferjih";8463
"Povpreèni dohodek na èlana gospodinjstva";"Koroška";"2017";"Dohodek po socialnih transferjih";8585
