"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah delovnega mesta, starostnih skupinah in spolu, Slovenija, letno"

"STATISTIÈNA REGIJA";"STAROST";"2010 Spol - SKUPAJ";"2010 Moški";"2010 Ženske";"2011 Spol - SKUPAJ";"2011 Moški";"2011 Ženske";"2012 Spol - SKUPAJ";"2012 Moški";"2012 Ženske";"2013 Spol - SKUPAJ";"2013 Moški";"2013 Ženske";"2014 Spol - SKUPAJ";"2014 Moški";"2014 Ženske";"2015 Spol - SKUPAJ";"2015 Moški";"2015 Ženske";"2016 Spol - SKUPAJ";"2016 Moški";"2016 Ženske";"2017 Spol - SKUPAJ";"2017 Moški";"2017 Ženske";"2018 Spol - SKUPAJ";"2018 Moški";"2018 Ženske"
"Pomurska";"Starost - SKUPAJ";1330;1330;1331;1385;1385;1385;1391;1405;1374;1380;1401;1357;1446;1461;1427;1447;1465;1425;1473;1509;1431;1508;1547;1462;1556;1607;1499
"Pomurska";"15-64 let";1330;1328;1331;1383;1382;1385;1390;1404;1373;1379;1399;1357;1444;1457;1427;1445;z;z;1471;z;z;1504;z;z;1553;z;z
"Pomurska";"15-24 let";900;907;880;954;965;926;955;969;916;965;984;898;984;1003;904;1008;z;z;1031;z;z;1076;z;z;1132;1172;1012
"Pomurska";"25-34 let";1159;1165;1152;1199;1208;1185;1217;1227;1204;1202;1217;1179;1222;1247;1184;1233;1260;1191;1256;1290;1200;1292;1332;1226;1345;1398;1259
"Pomurska";"35-44 let";1324;1345;1303;1376;1393;1359;1389;1424;1354;1382;1432;1334;1447;1492;1397;1453;1500;1401;1481;1554;1404;1522;1597;1441;1579;1666;1485
"Pomurska";"45-54 let";1425;1421;1429;1468;1466;1470;1457;1486;1429;1431;1457;1407;1516;1530;1502;1505;1530;1480;1513;1572;1457;1533;1591;1477;1575;1647;1507
"Pomurska";"55-64 let";1692;1593;1960;1724;1643;1916;1707;1654;1821;1658;1632;1707;1707;1674;1762;1684;1660;1720;1709;1687;1738;1724;1715;1735;1748;z;z
"Pomurska";"65 let ali veè";3042;3264;z;3833;4295;z;2949;z;z;3922;z;z;3700;4106;z;4095;z;z;3348;z;z;3424;z;z;3477;z;z
"Podravska";"Starost - SKUPAJ";1428;1446;1407;1471;1505;1434;1489;1523;1451;1487;1527;1446;1518;1560;1472;1529;1568;1485;1549;1594;1499;1602;1652;1547;1658;1720;1589
"Podravska";"15-64 let";1424;1439;1406;1467;1499;1432;1485;1519;1450;1484;1522;1444;1514;1554;1471;1524;1562;1483;1543;1586;1497;1597;1643;1545;1651;1710;1587
"Podravska";"15-24 let";934;944;906;967;979;937;986;999;949;1001;1020;945;1030;1050;961;1060;1084;970;1072;1105;954;1110;1140;1019;1171;1215;1054
"Podravska";"25-34 let";1233;1254;1205;1261;1285;1229;1273;1293;1245;1260;1286;1225;1280;1314;1230;1283;1319;1227;1299;1335;1241;1342;1390;1267;1417;1480;1322
"Podravska";"35-44 let";1430;1476;1384;1474;1533;1418;1497;1564;1433;1499;1563;1438;1523;1589;1457;1525;1589;1459;1547;1610;1484;1603;1671;1532;1657;1744;1566
"Podravska";"45-54 let";1493;1498;1489;1528;1571;1491;1547;1592;1508;1541;1595;1495;1575;1635;1521;1580;1644;1523;1603;1687;1528;1657;1737;1583;1716;1805;1634
"Podravska";"55-64 let";1792;1758;1864;1832;1820;1853;1811;1792;1843;1760;1777;1735;1747;1763;1727;1764;1772;1755;1741;1758;1722;1784;1813;1753;1809;1840;1776
