Drzava,Stevilo_nastopov,Prvi_nastop
Albania,17,2004
Andorra,6,2004
Armenia,13,2006
Australia,6,2015
Austria,53,1957
Azerbaijan,13,2008
Belarus,16,2004
Belgium,63,1956
Bosnia & Herzegovina,19,1993
Bulgaria,13,2005
Croatia,26,1993
Cyprus,37,1981
Czech Republic,9,2007
Denmark,49,1957
Estonia,26,1994
Finland,54,1961
France,64,1956
Georgia,13,2007
Germany,65,1956
Greece,41,1974
Hungary,17,1994
Iceland,33,1986
Ireland,54,1965
Israel,43,1973
Italy,47,1956
Latvia,21,2000
Lithuania,21,1994
Luxembourg,38,1956
Malta,33,1971
Moldova,16,2005
Monaco,24,1959
Montenegro,11,2007
Morocco,1,1980
Netherlands,62,1956
North Macedonia,20,1998
Norway,59,1960
Poland,23,1994
Portugal,52,1964
Romania,21,1994
Russia,23,1994
San Marino,11,2008
Serbia,13,2007
Serbia & Montenegro,3,2004
Slovakia,7,1994
Slovenia,26,1993
Spain,60,1961
Sweden,60,1958
Switzerland,62,1956
Turkey,34,1975
Ukraine,16,2003
United Kingdom,63,1957
Yugoslavia,27,1961
