"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,208,"SVN","Slovenia",1,"Gorenjska","SI.GO",NA,"","Statisticna Regije","Statistical Region","",""
2,208,"SVN","Slovenia",2,"Goriška","SI.SP",NA,"","Statisticna Regije","Statistical Region","","Severna Primors"
3,208,"SVN","Slovenia",3,"Jugovzhodna Slovenija","",NA,"","Statisticna Regije","Statistical Region","",""
4,208,"SVN","Slovenia",4,"Koroška","SI.KO",NA,"","Statisticna Regije","Statistical Region","",""
5,208,"SVN","Slovenia",5,"Notranjsko-kraška","SI.NO",NA,"","Statisticna Regije","Statistical Region","","Kraška, Notranj"
6,208,"SVN","Slovenia",6,"Obalno-kraška","SI.JP",NA,"","Statisticna Regije","Statistical Region","","Južna Primorska"
7,208,"SVN","Slovenia",7,"Osrednjeslovenska","SI.LJ",NA,"","Statisticna Regije","Statistical Region","","Ljubljana"
8,208,"SVN","Slovenia",8,"Podravska","SI.PD",NA,"","Statisticna Regije","Statistical Region","",""
9,208,"SVN","Slovenia",9,"Pomurska","SI.PM",NA,"","Statisticna Regije","Statistical Region","",""
10,208,"SVN","Slovenia",10,"Savinjska","SI.SA",NA,"","Statisticna Regije","Statistical Region","",""
11,208,"SVN","Slovenia",11,"Spodnjeposavska","SI.PS",NA,"","Statisticna Regije","Statistical Region","","Posavska"
12,208,"SVN","Slovenia",12,"Zasavska","SI.ZS",NA,"","Statisticna Regije","Statistical Region","",""
