"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,208,"SVN","Slovenia",1,"Gorenjska",1,"Šencur","SI.GO.SE",NA,"","Opcine","Commune|Municipality","",""
2,208,"SVN","Slovenia",1,"Gorenjska",2,"Škofja Loka","SI.GO.SL",NA,"","Opcine","Commune|Municipality","",""
3,208,"SVN","Slovenia",1,"Gorenjska",3,"Železniki","SI.GO.ZE",NA,"","Opcine","Commune|Municipality","",""
4,208,"SVN","Slovenia",1,"Gorenjska",4,"Žiri","SI.GO.ZI",NA,"","Opcine","Commune|Municipality","",""
5,208,"SVN","Slovenia",1,"Gorenjska",5,"Žirovnica","SI.GO.ZV",NA,"","Opcine","Commune|Municipality","",""
6,208,"SVN","Slovenia",1,"Gorenjska",6,"Bled","SI.GO.BL",NA,"","Opcine","Commune|Municipality","",""
7,208,"SVN","Slovenia",1,"Gorenjska",7,"Bohinj","SI.GO.BO",NA,"","Opcine","Commune|Municipality","",""
8,208,"SVN","Slovenia",1,"Gorenjska",8,"Cerklje na Gorenjskem","SI.GO.CG",NA,"","Opcine","Commune|Municipality","",""
9,208,"SVN","Slovenia",1,"Gorenjska",9,"Gorenja Vas-Poljane","SI.GO.GV",NA,"","Opcine","Commune|Municipality","",""
10,208,"SVN","Slovenia",1,"Gorenjska",10,"Jesenice","SI.GO.JS",NA,"","Opcine","Commune|Municipality","",""
11,208,"SVN","Slovenia",1,"Gorenjska",11,"Jezersko","SI.GO.JZ",NA,"","Opcine","Commune|Municipality","",""
12,208,"SVN","Slovenia",1,"Gorenjska",12,"Kranj","SI.GO.KR",NA,"","Opcine","Commune|Municipality","",""
13,208,"SVN","Slovenia",1,"Gorenjska",13,"Kranjska Gora","SI.GO.KG",NA,"","Opcine","Commune|Municipality","",""
14,208,"SVN","Slovenia",1,"Gorenjska",14,"Naklo","SI.GO.NA",NA,"","Opcine","Commune|Municipality","",""
15,208,"SVN","Slovenia",1,"Gorenjska",15,"Preddvor","SI.GO.PR",NA,"","Opcine","Commune|Municipality","",""
16,208,"SVN","Slovenia",1,"Gorenjska",16,"Radovljica","SI.GO.RA",NA,"","Opcine","Commune|Municipality","",""
17,208,"SVN","Slovenia",1,"Gorenjska",17,"Tržic","SI.GO.TR",NA,"","Opcine","Commune|Municipality","",""
18,208,"SVN","Slovenia",2,"Goriška",18,"Šempeter-Vrtojba","SI.SP.SV",NA,"","Opcine","Commune|Municipality","",""
19,208,"SVN","Slovenia",2,"Goriška",19,"Ajdovšcina","SI.SP.AJ",NA,"","Opcine","Commune|Municipality","",""
